"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;84;0
Hovedstaden;0-9;8445;1
Midtjylland;0-9;3008;0
Nordjylland;0-9;945;0
Sjælland;0-9;1955;0
Syddanmark;0-9;2719;0
;10-19;94;0
Hovedstaden;10-19;16170;0
Midtjylland;10-19;6693;0
Nordjylland;10-19;2441;0
Sjælland;10-19;5246;0
Syddanmark;10-19;5836;0
;20-29;513;0
Hovedstaden;20-29;22820;0
Midtjylland;20-29;7983;0
Nordjylland;20-29;2959;0
Sjælland;20-29;4224;0
Syddanmark;20-29;5686;0
;30-39;580;0
Hovedstaden;30-39;16716;4
Midtjylland;30-39;5213;0
Nordjylland;30-39;1893;0
Sjælland;30-39;4007;2
Syddanmark;30-39;4305;0
;40-49;525;0
Hovedstaden;40-49;16147;4
Midtjylland;40-49;5672;1
Nordjylland;40-49;2084;0
Sjælland;40-49;5255;1
Syddanmark;40-49;4998;1
;50-59;340;1
Hovedstaden;50-59;14924;28
Midtjylland;50-59;5751;10
Nordjylland;50-59;2377;3
Sjælland;50-59;5416;10
Syddanmark;50-59;4948;4
;60-69;122;0
Hovedstaden;60-69;7820;112
Midtjylland;60-69;3185;28
Nordjylland;60-69;1517;10
Sjælland;60-69;2977;36
Syddanmark;60-69;2764;16
;70-79;28;0
Hovedstaden;70-79;4863;327
Midtjylland;70-79;1841;87
Nordjylland;70-79;961;60
Sjælland;70-79;1917;108
Syddanmark;70-79;1679;56
;80-89;10;1
Hovedstaden;80-89;2830;519
Midtjylland;80-89;886;149
Nordjylland;80-89;437;62
Sjælland;80-89;962;155
Syddanmark;80-89;743;90
;90+;12;1
Hovedstaden;90+;994;304
Midtjylland;90+;260;69
Nordjylland;90+;126;43
Sjælland;90+;273;88
Syddanmark;90+;167;45
