"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;111729;6077;2115;115,0;1562189;84973;282521;15367;0,75
Midtjylland;40492;3060;731;55,2;1040998;78668;217047;16402;0,34
Nordjylland;15740;2672;345;58,6;492891;83687;94393;16027;0,37
Sjælland;32232;3859;467;55,9;642039;76868;122518;14668;0,38
Syddanmark;33845;2772;646;52,9;954930;78218;214770;17592;0,30
