"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;56;2021-03-11
019;0-9;14;2021-03-11
101;0-9;2615;2021-03-11
147;0-9;383;2021-03-11
151;0-9;222;2021-03-11
153;0-9;242;2021-03-11
155;0-9;73;2021-03-11
157;0-9;210;2021-03-11
159;0-9;357;2021-03-11
161;0-9;108;2021-03-11
163;0-9;174;2021-03-11
165;0-9;186;2021-03-11
167;0-9;291;2021-03-11
169;0-9;333;2021-03-11
173;0-9;179;2021-03-11
175;0-9;216;2021-03-11
183;0-9;220;2021-03-11
185;0-9;238;2021-03-11
187;0-9;116;2021-03-11
190;0-9;128;2021-03-11
201;0-9;52;2021-03-11
210;0-9;135;2021-03-11
217;0-9;214;2021-03-11
219;0-9;153;2021-03-11
223;0-9;42;2021-03-11
230;0-9;138;2021-03-11
240;0-9;198;2021-03-11
250;0-9;84;2021-03-11
253;0-9;202;2021-03-11
259;0-9;182;2021-03-11
260;0-9;29;2021-03-11
265;0-9;262;2021-03-11
269;0-9;81;2021-03-11
270;0-9;89;2021-03-11
306;0-9;28;2021-03-11
316;0-9;139;2021-03-11
320;0-9;50;2021-03-11
326;0-9;73;2021-03-11
329;0-9;71;2021-03-11
330;0-9;209;2021-03-11
336;0-9;37;2021-03-11
340;0-9;47;2021-03-11
350;0-9;82;2021-03-11
360;0-9;33;2021-03-11
370;0-9;150;2021-03-11
376;0-9;82;2021-03-11
390;0-9;47;2021-03-11
400;0-9;26;2021-03-11
410;0-9;54;2021-03-11
420;0-9;35;2021-03-11
430;0-9;48;2021-03-11
440;0-9;46;2021-03-11
450;0-9;56;2021-03-11
461;0-9;549;2021-03-11
479;0-9;49;2021-03-11
480;0-9;36;2021-03-11
482;0-9;5;2021-03-11
492;0-9;3;2021-03-11
510;0-9;52;2021-03-11
530;0-9;28;2021-03-11
540;0-9;121;2021-03-11
550;0-9;36;2021-03-11
561;0-9;196;2021-03-11
563;0-9;1;2021-03-11
573;0-9;70;2021-03-11
575;0-9;64;2021-03-11
580;0-9;86;2021-03-11
607;0-9;90;2021-03-11
615;0-9;140;2021-03-11
621;0-9;340;2021-03-11
630;0-9;266;2021-03-11
657;0-9;128;2021-03-11
661;0-9;99;2021-03-11
665;0-9;23;2021-03-11
671;0-9;40;2021-03-11
706;0-9;42;2021-03-11
707;0-9;57;2021-03-11
710;0-9;87;2021-03-11
727;0-9;44;2021-03-11
730;0-9;183;2021-03-11
740;0-9;220;2021-03-11
741;0-9;2;2021-03-11
746;0-9;138;2021-03-11
751;0-9;1135;2021-03-11
756;0-9;64;2021-03-11
760;0-9;42;2021-03-11
766;0-9;60;2021-03-11
773;0-9;22;2021-03-11
779;0-9;48;2021-03-11
787;0-9;46;2021-03-11
791;0-9;117;2021-03-11
810;0-9;60;2021-03-11
813;0-9;70;2021-03-11
820;0-9;22;2021-03-11
840;0-9;52;2021-03-11
846;0-9;36;2021-03-11
849;0-9;65;2021-03-11
851;0-9;419;2021-03-11
860;0-9;76;2021-03-11
;10-19;59;2021-03-11
011;10-19;3;2021-03-11
019;10-19;17;2021-03-11
101;10-19;4541;2021-03-11
147;10-19;611;2021-03-11
151;10-19;456;2021-03-11
153;10-19;445;2021-03-11
155;10-19;104;2021-03-11
157;10-19;714;2021-03-11
159;10-19;650;2021-03-11
161;10-19;222;2021-03-11
163;10-19;398;2021-03-11
165;10-19;365;2021-03-11
167;10-19;634;2021-03-11
169;10-19;645;2021-03-11
173;10-19;417;2021-03-11
175;10-19;433;2021-03-11
183;10-19;431;2021-03-11
185;10-19;434;2021-03-11
187;10-19;222;2021-03-11
190;10-19;321;2021-03-11
201;10-19;149;2021-03-11
210;10-19;274;2021-03-11
217;10-19;454;2021-03-11
219;10-19;322;2021-03-11
223;10-19;153;2021-03-11
230;10-19;500;2021-03-11
240;10-19;337;2021-03-11
250;10-19;206;2021-03-11
253;10-19;464;2021-03-11
259;10-19;481;2021-03-11
260;10-19;95;2021-03-11
265;10-19;537;2021-03-11
269;10-19;284;2021-03-11
270;10-19;232;2021-03-11
306;10-19;139;2021-03-11
316;10-19;360;2021-03-11
320;10-19;167;2021-03-11
326;10-19;278;2021-03-11
329;10-19;197;2021-03-11
330;10-19;683;2021-03-11
336;10-19;112;2021-03-11
340;10-19;96;2021-03-11
350;10-19;173;2021-03-11
360;10-19;142;2021-03-11
370;10-19;436;2021-03-11
376;10-19;192;2021-03-11
390;10-19;218;2021-03-11
