"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;56;2021-03-08
019;0-9;13;2021-03-08
101;0-9;2584;2021-03-08
147;0-9;378;2021-03-08
151;0-9;218;2021-03-08
153;0-9;239;2021-03-08
155;0-9;71;2021-03-08
157;0-9;210;2021-03-08
159;0-9;346;2021-03-08
161;0-9;107;2021-03-08
163;0-9;173;2021-03-08
165;0-9;183;2021-03-08
167;0-9;288;2021-03-08
169;0-9;322;2021-03-08
173;0-9;179;2021-03-08
175;0-9;216;2021-03-08
183;0-9;217;2021-03-08
185;0-9;238;2021-03-08
187;0-9;113;2021-03-08
190;0-9;126;2021-03-08
201;0-9;48;2021-03-08
210;0-9;135;2021-03-08
217;0-9;211;2021-03-08
219;0-9;144;2021-03-08
223;0-9;42;2021-03-08
230;0-9;138;2021-03-08
240;0-9;197;2021-03-08
250;0-9;83;2021-03-08
253;0-9;197;2021-03-08
259;0-9;182;2021-03-08
260;0-9;29;2021-03-08
265;0-9;256;2021-03-08
269;0-9;81;2021-03-08
270;0-9;89;2021-03-08
306;0-9;28;2021-03-08
316;0-9;136;2021-03-08
320;0-9;50;2021-03-08
326;0-9;72;2021-03-08
329;0-9;67;2021-03-08
330;0-9;208;2021-03-08
336;0-9;36;2021-03-08
340;0-9;47;2021-03-08
350;0-9;82;2021-03-08
360;0-9;33;2021-03-08
370;0-9;145;2021-03-08
376;0-9;82;2021-03-08
390;0-9;47;2021-03-08
400;0-9;25;2021-03-08
410;0-9;54;2021-03-08
420;0-9;35;2021-03-08
430;0-9;46;2021-03-08
440;0-9;46;2021-03-08
450;0-9;50;2021-03-08
461;0-9;536;2021-03-08
479;0-9;49;2021-03-08
480;0-9;34;2021-03-08
482;0-9;5;2021-03-08
492;0-9;3;2021-03-08
510;0-9;52;2021-03-08
530;0-9;27;2021-03-08
540;0-9;118;2021-03-08
550;0-9;36;2021-03-08
561;0-9;178;2021-03-08
563;0-9;1;2021-03-08
573;0-9;69;2021-03-08
575;0-9;64;2021-03-08
580;0-9;82;2021-03-08
607;0-9;89;2021-03-08
615;0-9;124;2021-03-08
621;0-9;333;2021-03-08
630;0-9;257;2021-03-08
657;0-9;128;2021-03-08
661;0-9;99;2021-03-08
665;0-9;23;2021-03-08
671;0-9;40;2021-03-08
706;0-9;41;2021-03-08
707;0-9;57;2021-03-08
710;0-9;87;2021-03-08
727;0-9;44;2021-03-08
730;0-9;179;2021-03-08
740;0-9;220;2021-03-08
741;0-9;2;2021-03-08
746;0-9;131;2021-03-08
751;0-9;1129;2021-03-08
756;0-9;64;2021-03-08
760;0-9;42;2021-03-08
766;0-9;58;2021-03-08
773;0-9;22;2021-03-08
779;0-9;48;2021-03-08
787;0-9;46;2021-03-08
791;0-9;113;2021-03-08
810;0-9;60;2021-03-08
813;0-9;70;2021-03-08
820;0-9;22;2021-03-08
840;0-9;52;2021-03-08
846;0-9;36;2021-03-08
849;0-9;63;2021-03-08
851;0-9;418;2021-03-08
860;0-9;75;2021-03-08
;10-19;55;2021-03-08
011;10-19;3;2021-03-08
019;10-19;17;2021-03-08
101;10-19;4483;2021-03-08
147;10-19;609;2021-03-08
151;10-19;450;2021-03-08
153;10-19;438;2021-03-08
155;10-19;104;2021-03-08
157;10-19;711;2021-03-08
159;10-19;637;2021-03-08
161;10-19;222;2021-03-08
163;10-19;394;2021-03-08
165;10-19;358;2021-03-08
167;10-19;633;2021-03-08
169;10-19;636;2021-03-08
173;10-19;415;2021-03-08
175;10-19;431;2021-03-08
183;10-19;426;2021-03-08
185;10-19;430;2021-03-08
187;10-19;221;2021-03-08
190;10-19;316;2021-03-08
201;10-19;149;2021-03-08
210;10-19;267;2021-03-08
217;10-19;442;2021-03-08
219;10-19;316;2021-03-08
223;10-19;153;2021-03-08
230;10-19;495;2021-03-08
240;10-19;335;2021-03-08
250;10-19;205;2021-03-08
253;10-19;453;2021-03-08
259;10-19;480;2021-03-08
260;10-19;95;2021-03-08
265;10-19;529;2021-03-08
269;10-19;284;2021-03-08
270;10-19;231;2021-03-08
306;10-19;138;2021-03-08
316;10-19;358;2021-03-08
320;10-19;166;2021-03-08
326;10-19;276;2021-03-08
329;10-19;190;2021-03-08
330;10-19;681;2021-03-08
336;10-19;111;2021-03-08
