"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
751;10-19;2446;2021-04-06
756;10-19;177;2021-04-06
760;10-19;150;2021-04-06
766;10-19;226;2021-04-06
773;10-19;64;2021-04-06
779;10-19;137;2021-04-06
787;10-19;141;2021-04-06
791;10-19;364;2021-04-06
810;10-19;141;2021-04-06
813;10-19;219;2021-04-06
820;10-19;115;2021-04-06
825;10-19;1;2021-04-06
840;10-19;126;2021-04-06
846;10-19;140;2021-04-06
849;10-19;159;2021-04-06
851;10-19;1066;2021-04-06
860;10-19;206;2021-04-06
;20-29;391;2021-04-06
011;20-29;106;2021-04-06
019;20-29;10;2021-04-06
101;20-29;12658;2021-04-06
147;20-29;1608;2021-04-06
151;20-29;441;2021-04-06
153;20-29;473;2021-04-06
155;20-29;61;2021-04-06
157;20-29;437;2021-04-06
159;20-29;701;2021-04-06
161;20-29;259;2021-04-06
163;20-29;284;2021-04-06
165;20-29;338;2021-04-06
167;20-29;565;2021-04-06
169;20-29;652;2021-04-06
173;20-29;427;2021-04-06
175;20-29;463;2021-04-06
183;20-29;409;2021-04-06
185;20-29;318;2021-04-06
187;20-29;178;2021-04-06
190;20-29;216;2021-04-06
201;20-29;90;2021-04-06
210;20-29;243;2021-04-06
217;20-29;385;2021-04-06
219;20-29;326;2021-04-06
223;20-29;84;2021-04-06
230;20-29;267;2021-04-06
240;20-29;203;2021-04-06
250;20-29;212;2021-04-06
253;20-29;385;2021-04-06
259;20-29;432;2021-04-06
260;20-29;127;2021-04-06
265;20-29;647;2021-04-06
269;20-29;126;2021-04-06
270;20-29;139;2021-04-06
306;20-29;88;2021-04-06
316;20-29;330;2021-04-06
320;20-29;154;2021-04-06
326;20-29;154;2021-04-06
329;20-29;229;2021-04-06
330;20-29;529;2021-04-06
336;20-29;77;2021-04-06
340;20-29;100;2021-04-06
350;20-29;102;2021-04-06
360;20-29;102;2021-04-06
370;20-29;414;2021-04-06
376;20-29;188;2021-04-06
390;20-29;121;2021-04-06
400;20-29;50;2021-04-06
410;20-29;80;2021-04-06
420;20-29;76;2021-04-06
430;20-29;125;2021-04-06
440;20-29;60;2021-04-06
450;20-29;97;2021-04-06
461;20-29;2064;2021-04-06
479;20-29;151;2021-04-06
480;20-29;76;2021-04-06
482;20-29;10;2021-04-06
492;20-29;4;2021-04-06
510;20-29;181;2021-04-06
530;20-29;80;2021-04-06
540;20-29;239;2021-04-06
550;20-29;87;2021-04-06
561;20-29;546;2021-04-06
563;20-29;2;2021-04-06
573;20-29;163;2021-04-06
575;20-29;143;2021-04-06
580;20-29;166;2021-04-06
607;20-29;194;2021-04-06
615;20-29;493;2021-04-06
621;20-29;478;2021-04-06
630;20-29;612;2021-04-06
657;20-29;314;2021-04-06
661;20-29;259;2021-04-06
665;20-29;48;2021-04-06
671;20-29;72;2021-04-06
706;20-29;80;2021-04-06
707;20-29;82;2021-04-06
710;20-29;125;2021-04-06
727;20-29;36;2021-04-06
730;20-29;440;2021-04-06
740;20-29;317;2021-04-06
741;20-29;4;2021-04-06
746;20-29;183;2021-04-06
751;20-29;4678;2021-04-06
756;20-29;126;2021-04-06
760;20-29;163;2021-04-06
766;20-29;151;2021-04-06
773;20-29;74;2021-04-06
779;20-29;125;2021-04-06
787;20-29;142;2021-04-06
791;20-29;241;2021-04-06
810;20-29;99;2021-04-06
813;20-29;161;2021-04-06
820;20-29;100;2021-04-06
825;20-29;3;2021-04-06
840;20-29;53;2021-04-06
846;20-29;135;2021-04-06
849;20-29;96;2021-04-06
851;20-29;1902;2021-04-06
860;20-29;158;2021-04-06
;30-39;348;2021-04-06
011;30-39;198;2021-04-06
012;30-39;1;2021-04-06
019;30-39;23;2021-04-06
101;30-39;7500;2021-04-06
147;30-39;949;2021-04-06
151;30-39;409;2021-04-06
153;30-39;446;2021-04-06
155;30-39;86;2021-04-06
157;30-39;359;2021-04-06
159;30-39;650;2021-04-06
161;30-39;280;2021-04-06
163;30-39;291;2021-04-06
165;30-39;305;2021-04-06
167;30-39;542;2021-04-06
169;30-39;657;2021-04-06
173;30-39;303;2021-04-06
175;30-39;419;2021-04-06
183;30-39;409;2021-04-06
185;30-39;338;2021-04-06
187;30-39;243;2021-04-06
190;30-39;243;2021-04-06
201;30-39;99;2021-04-06
210;30-39;243;2021-04-06
217;30-39;357;2021-04-06
219;30-39;299;2021-04-06
223;30-39;84;2021-04-06
230;30-39;243;2021-04-06
240;30-39;293;2021-04-06
250;30-39;173;2021-04-06
253;30-39;369;2021-04-06
259;30-39;373;2021-04-06
260;30-39;119;2021-04-06
265;30-39;539;2021-04-06
269;30-39;175;2021-04-06
270;30-39;155;2021-04-06
306;30-39;81;2021-04-06
316;30-39;331;2021-04-06
320;30-39;164;2021-04-06
326;30-39;153;2021-04-06
329;30-39;187;2021-04-06
330;30-39;449;2021-04-06
336;30-39;90;2021-04-06
340;30-39;103;2021-04-06
350;30-39;165;2021-04-06
360;30-39;105;2021-04-06
370;30-39;352;2021-04-06
376;30-39;202;2021-04-06
390;30-39;138;2021-04-06
400;30-39;70;2021-04-06
410;30-39;84;2021-04-06
420;30-39;92;2021-04-06
430;30-39;125;2021-04-06
440;30-39;52;2021-04-06
450;30-39;115;2021-04-06
461;30-39;1044;2021-04-06
479;30-39;113;2021-04-06
480;30-39;70;2021-04-06
482;30-39;14;2021-04-06
492;30-39;1;2021-04-06
510;30-39;106;2021-04-06
530;30-39;91;2021-04-06
540;30-39;181;2021-04-06
550;30-39;76;2021-04-06
561;30-39;397;2021-04-06
563;30-39;6;2021-04-06
573;30-39;154;2021-04-06
575;30-39;137;2021-04-06
580;30-39;154;2021-04-06
607;30-39;166;2021-04-06
615;30-39;395;2021-04-06
621;30-39;503;2021-04-06
630;30-39;579;2021-04-06
657;30-39;328;2021-04-06
661;30-39;216;2021-04-06
665;30-39;51;2021-04-06
671;30-39;78;2021-04-06
706;30-39;81;2021-04-06
707;30-39;75;2021-04-06
710;30-39;166;2021-04-06
727;30-39;58;2021-04-06
730;30-39;374;2021-04-06
740;30-39;330;2021-04-06
741;30-39;6;2021-04-06
746;30-39;260;2021-04-06
751;30-39;2025;2021-04-06
756;30-39;119;2021-04-06
760;30-39;134;2021-04-06
766;30-39;130;2021-04-06
773;30-39;44;2021-04-06
779;30-39;99;2021-04-06
787;30-39;121;2021-04-06
791;30-39;238;2021-04-06
810;30-39;134;2021-04-06
813;30-39;150;2021-04-06
820;30-39;111;2021-04-06
840;30-39;100;2021-04-06
846;30-39;122;2021-04-06
849;30-39;120;2021-04-06
851;30-39;797;2021-04-06
860;30-39;176;2021-04-06
961;30-39;1;2021-04-06
;40-49;298;2021-04-06
011;40-49;202;2021-04-06
012;40-49;1;2021-04-06
019;40-49;18;2021-04-06
101;40-49;5386;2021-04-06
147;40-49;826;2021-04-06
151;40-49;507;2021-04-06
153;40-49;459;2021-04-06
155;40-49;110;2021-04-06
157;40-49;592;2021-04-06
159;40-49;658;2021-04-06
161;40-49;235;2021-04-06
163;40-49;360;2021-04-06
165;40-49;367;2021-04-06
167;40-49;612;2021-04-06
169;40-49;649;2021-04-06
173;40-49;396;2021-04-06
175;40-49;479;2021-04-06
183;40-49;401;2021-04-06
185;40-49;484;2021-04-06
187;40-49;228;2021-04-06
190;40-49;297;2021-04-06
201;40-49;142;2021-04-06
210;40-49;300;2021-04-06
217;40-49;481;2021-04-06
219;40-49;335;2021-04-06
223;40-49;144;2021-04-06
230;40-49;393;2021-04-06
240;40-49;415;2021-04-06
250;40-49;272;2021-04-06
253;40-49;513;2021-04-06
259;40-49;482;2021-04-06
260;40-49;151;2021-04-06
265;40-49;563;2021-04-06
269;40-49;232;2021-04-06
270;40-49;240;2021-04-06
306;40-49;132;2021-04-06
316;40-49;433;2021-04-06
320;40-49;227;2021-04-06
326;40-49;216;2021-04-06
329;40-49;264;2021-04-06
330;40-49;606;2021-04-06
336;40-49;137;2021-04-06
340;40-49;166;2021-04-06
350;40-49;204;2021-04-06
360;40-49;176;2021-04-06
370;40-49;441;2021-04-06
376;40-49;235;2021-04-06
