"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;08/04/2021
Hovedstaden;0-9;191;0;1;2;08/04/2021
Midtjylland;0-9;73;0;0;0;08/04/2021
Nordjylland;0-9;20;0;0;1;08/04/2021
Sjælland;0-9;37;0;0;0;08/04/2021
Syddanmark;0-9;77;0;0;0;08/04/2021
;10-19;5;0;0;0;08/04/2021
Hovedstaden;10-19;376;0;1;1;08/04/2021
Midtjylland;10-19;181;0;0;0;08/04/2021
Nordjylland;10-19;94;0;0;1;08/04/2021
Sjælland;10-19;71;0;0;0;08/04/2021
Syddanmark;10-19;122;0;0;0;08/04/2021
;20-29;12;0;0;1;08/04/2021
Hovedstaden;20-29;421;0;1;2;08/04/2021
Midtjylland;20-29;94;0;1;2;08/04/2021
Nordjylland;20-29;61;0;0;0;08/04/2021
Sjælland;20-29;75;0;1;1;08/04/2021
Syddanmark;20-29;107;0;0;0;08/04/2021
;30-39;22;0;0;0;08/04/2021
Hovedstaden;30-39;340;0;4;6;08/04/2021
Midtjylland;30-39;119;0;1;2;08/04/2021
Nordjylland;30-39;44;0;0;0;08/04/2021
Sjælland;30-39;61;0;1;1;08/04/2021
Syddanmark;30-39;94;0;1;2;08/04/2021
;40-49;8;0;0;1;08/04/2021
Hovedstaden;40-49;346;0;7;13;08/04/2021
Midtjylland;40-49;105;0;1;2;08/04/2021
Nordjylland;40-49;39;0;0;0;08/04/2021
Sjælland;40-49;74;0;1;2;08/04/2021
Syddanmark;40-49;88;0;0;1;08/04/2021
;50-59;8;0;1;1;08/04/2021
Hovedstaden;50-59;263;0;7;10;08/04/2021
Midtjylland;50-59;69;0;1;3;08/04/2021
Nordjylland;50-59;51;0;0;0;08/04/2021
Sjælland;50-59;74;1;0;1;08/04/2021
Syddanmark;50-59;69;0;2;3;08/04/2021
;60-69;3;0;0;0;08/04/2021
Hovedstaden;60-69;122;0;4;6;08/04/2021
Midtjylland;60-69;49;0;6;6;08/04/2021
Nordjylland;60-69;15;0;1;1;08/04/2021
Sjælland;60-69;40;1;1;3;08/04/2021
Syddanmark;60-69;54;0;0;1;08/04/2021
;70-79;1;0;0;1;08/04/2021
Hovedstaden;70-79;71;0;6;9;08/04/2021
Midtjylland;70-79;24;0;4;5;08/04/2021
Nordjylland;70-79;8;0;1;1;08/04/2021
Sjælland;70-79;11;0;1;1;08/04/2021
Syddanmark;70-79;31;0;5;7;08/04/2021
Hovedstaden;80-89;16;0;3;5;08/04/2021
Midtjylland;80-89;2;0;1;1;08/04/2021
Nordjylland;80-89;1;0;0;0;08/04/2021
Sjælland;80-89;5;0;0;1;08/04/2021
Syddanmark;80-89;13;0;3;3;08/04/2021
Hovedstaden;90+;2;0;0;0;08/04/2021
Syddanmark;90+;2;1;0;1;08/04/2021
