"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;84;0;0;2;08/04/2021
Hovedstaden;0-9;8423;1;1;111;08/04/2021
Midtjylland;0-9;2995;0;0;22;08/04/2021
Nordjylland;0-9;942;0;0;7;08/04/2021
Sjælland;0-9;1949;0;0;18;08/04/2021
Syddanmark;0-9;2713;0;0;22;08/04/2021
;10-19;93;0;0;0;08/04/2021
Hovedstaden;10-19;16106;0;1;90;08/04/2021
Midtjylland;10-19;6670;0;1;27;08/04/2021
Nordjylland;10-19;2419;0;0;9;08/04/2021
Sjælland;10-19;5237;0;0;40;08/04/2021
Syddanmark;10-19;5824;0;0;17;08/04/2021
;20-29;512;0;0;11;08/04/2021
Hovedstaden;20-29;22738;0;3;294;08/04/2021
Midtjylland;20-29;7965;0;1;81;08/04/2021
Nordjylland;20-29;2939;0;0;37;08/04/2021
Sjælland;20-29;4210;0;1;77;08/04/2021
Syddanmark;20-29;5668;0;3;78;08/04/2021
;30-39;578;0;0;21;08/04/2021
Hovedstaden;30-39;16659;4;6;484;08/04/2021
Midtjylland;30-39;5198;0;1;118;08/04/2021
Nordjylland;30-39;1889;0;1;39;08/04/2021
Sjælland;30-39;3993;2;2;119;08/04/2021
Syddanmark;30-39;4295;0;4;102;08/04/2021
;40-49;522;0;0;30;08/04/2021
Hovedstaden;40-49;16102;4;18;636;08/04/2021
Midtjylland;40-49;5656;1;1;189;08/04/2021
Nordjylland;40-49;2080;0;2;69;08/04/2021
Sjælland;40-49;5248;1;5;224;08/04/2021
Syddanmark;40-49;4982;1;4;164;08/04/2021
;50-59;336;1;1;42;08/04/2021
Hovedstaden;50-59;14885;28;18;970;08/04/2021
Midtjylland;50-59;5728;10;5;353;08/04/2021
Nordjylland;50-59;2371;3;4;111;08/04/2021
Sjælland;50-59;5402;10;6;335;08/04/2021
Syddanmark;50-59;4931;4;6;266;08/04/2021
;60-69;121;0;1;23;08/04/2021
Hovedstaden;60-69;7801;112;14;994;08/04/2021
Midtjylland;60-69;3180;28;9;329;08/04/2021
Nordjylland;60-69;1515;10;6;140;08/04/2021
Sjælland;60-69;2971;36;8;385;08/04/2021
Syddanmark;60-69;2753;16;8;280;08/04/2021
;70-79;28;0;0;12;08/04/2021
Hovedstaden;70-79;4856;327;33;1471;08/04/2021
Midtjylland;70-79;1840;87;7;452;08/04/2021
Nordjylland;70-79;961;60;9;223;08/04/2021
Sjælland;70-79;1912;108;7;557;08/04/2021
Syddanmark;70-79;1675;56;15;366;08/04/2021
;80-89;10;1;0;5;08/04/2021
Hovedstaden;80-89;2826;519;11;1287;08/04/2021
Midtjylland;80-89;885;149;2;312;08/04/2021
Nordjylland;80-89;437;62;1;176;08/04/2021
Sjælland;80-89;962;155;1;456;08/04/2021
Syddanmark;80-89;742;90;7;275;08/04/2021
;90+;12;1;0;0;08/04/2021
Hovedstaden;90+;994;304;2;387;08/04/2021
Midtjylland;90+;260;69;0;78;08/04/2021
Nordjylland;90+;125;43;0;38;08/04/2021
Sjælland;90+;273;88;1;131;08/04/2021
Syddanmark;90+;167;45;0;60;08/04/2021
