"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;111390;6059;2148;116,8;1560151;84863;274976;14957;0,78
Midtjylland;40377;3051;716;54,1;1039109;78525;210559;15912;0,34
Nordjylland;15678;2662;333;56,5;492311;83588;89275;15158;0,37
Sjælland;32157;3850;448;53,6;640891;76730;118741;14216;0,38
Syddanmark;33750;2764;657;53,8;953260;78081;206592;16922;0,32
