"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;65;2021-03-30
019;0-9;14;2021-03-30
101;0-9;2840;2021-03-30
147;0-9;407;2021-03-30
151;0-9;264;2021-03-30
153;0-9;280;2021-03-30
155;0-9;74;2021-03-30
157;0-9;216;2021-03-30
159;0-9;422;2021-03-30
161;0-9;117;2021-03-30
163;0-9;187;2021-03-30
165;0-9;194;2021-03-30
167;0-9;305;2021-03-30
169;0-9;394;2021-03-30
173;0-9;190;2021-03-30
175;0-9;229;2021-03-30
183;0-9;244;2021-03-30
185;0-9;245;2021-03-30
187;0-9;130;2021-03-30
190;0-9;154;2021-03-30
201;0-9;57;2021-03-30
210;0-9;161;2021-03-30
217;0-9;231;2021-03-30
219;0-9;167;2021-03-30
223;0-9;58;2021-03-30
230;0-9;141;2021-03-30
240;0-9;208;2021-03-30
250;0-9;91;2021-03-30
253;0-9;218;2021-03-30
259;0-9;190;2021-03-30
260;0-9;40;2021-03-30
265;0-9;272;2021-03-30
269;0-9;83;2021-03-30
270;0-9;97;2021-03-30
306;0-9;30;2021-03-30
316;0-9;162;2021-03-30
320;0-9;55;2021-03-30
326;0-9;76;2021-03-30
329;0-9;78;2021-03-30
330;0-9;224;2021-03-30
336;0-9;37;2021-03-30
340;0-9;47;2021-03-30
350;0-9;98;2021-03-30
360;0-9;36;2021-03-30
370;0-9;158;2021-03-30
376;0-9;89;2021-03-30
390;0-9;50;2021-03-30
400;0-9;27;2021-03-30
410;0-9;57;2021-03-30
420;0-9;36;2021-03-30
430;0-9;65;2021-03-30
440;0-9;61;2021-03-30
450;0-9;64;2021-03-30
461;0-9;612;2021-03-30
479;0-9;57;2021-03-30
480;0-9;39;2021-03-30
482;0-9;5;2021-03-30
492;0-9;3;2021-03-30
510;0-9;72;2021-03-30
530;0-9;44;2021-03-30
540;0-9;122;2021-03-30
550;0-9;40;2021-03-30
561;0-9;253;2021-03-30
563;0-9;1;2021-03-30
573;0-9;73;2021-03-30
575;0-9;68;2021-03-30
580;0-9;105;2021-03-30
607;0-9;107;2021-03-30
615;0-9;193;2021-03-30
621;0-9;387;2021-03-30
630;0-9;336;2021-03-30
657;0-9;152;2021-03-30
661;0-9;102;2021-03-30
665;0-9;24;2021-03-30
671;0-9;40;2021-03-30
706;0-9;43;2021-03-30
707;0-9;59;2021-03-30
710;0-9;92;2021-03-30
727;0-9;45;2021-03-30
730;0-9;237;2021-03-30
740;0-9;223;2021-03-30
741;0-9;2;2021-03-30
746;0-9;170;2021-03-30
751;0-9;1171;2021-03-30
756;0-9;73;2021-03-30
760;0-9;43;2021-03-30
766;0-9;64;2021-03-30
773;0-9;31;2021-03-30
779;0-9;49;2021-03-30
787;0-9;46;2021-03-30
791;0-9;124;2021-03-30
810;0-9;61;2021-03-30
813;0-9;71;2021-03-30
820;0-9;26;2021-03-30
840;0-9;54;2021-03-30
846;0-9;38;2021-03-30
849;0-9;67;2021-03-30
851;0-9;439;2021-03-30
860;0-9;86;2021-03-30
;10-19;68;2021-03-30
011;10-19;3;2021-03-30
019;10-19;17;2021-03-30
101;10-19;4778;2021-03-30
147;10-19;642;2021-03-30
151;10-19;503;2021-03-30
153;10-19;467;2021-03-30
155;10-19;110;2021-03-30
157;10-19;730;2021-03-30
159;10-19;697;2021-03-30
161;10-19;231;2021-03-30
163;10-19;414;2021-03-30
165;10-19;382;2021-03-30
167;10-19;646;2021-03-30
169;10-19;684;2021-03-30
173;10-19;435;2021-03-30
175;10-19;465;2021-03-30
183;10-19;453;2021-03-30
185;10-19;449;2021-03-30
187;10-19;239;2021-03-30
190;10-19;337;2021-03-30
201;10-19;155;2021-03-30
210;10-19;305;2021-03-30
217;10-19;489;2021-03-30
219;10-19;339;2021-03-30
223;10-19;173;2021-03-30
230;10-19;513;2021-03-30
240;10-19;344;2021-03-30
250;10-19;216;2021-03-30
253;10-19;478;2021-03-30
259;10-19;494;2021-03-30
260;10-19;124;2021-03-30
265;10-19;548;2021-03-30
269;10-19;294;2021-03-30
270;10-19;245;2021-03-30
306;10-19;152;2021-03-30
