"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;73;0;0;2;23/03/2021
Hovedstaden;0-9;7842;1;1;104;23/03/2021
Midtjylland;0-9;2816;0;0;22;23/03/2021
Nordjylland;0-9;901;0;0;6;23/03/2021
Sjælland;0-9;1861;0;0;17;23/03/2021
Syddanmark;0-9;2480;0;2;21;23/03/2021
;10-19;86;0;0;0;23/03/2021
Hovedstaden;10-19;15380;0;1;87;23/03/2021
Midtjylland;10-19;6493;0;0;24;23/03/2021
Nordjylland;10-19;2345;0;0;8;23/03/2021
Sjælland;10-19;5146;0;1;38;23/03/2021
Syddanmark;10-19;5524;0;0;16;23/03/2021
;20-29;525;0;0;10;23/03/2021
Hovedstaden;20-29;21774;0;6;276;23/03/2021
Midtjylland;20-29;7868;0;0;74;23/03/2021
Nordjylland;20-29;2860;0;0;34;23/03/2021
Sjælland;20-29;4050;0;1;74;23/03/2021
Syddanmark;20-29;5416;0;3;70;23/03/2021
;30-39;574;0;0;20;23/03/2021
Hovedstaden;30-39;15873;4;5;453;23/03/2021
Midtjylland;30-39;5056;0;1;112;23/03/2021
Nordjylland;30-39;1856;0;1;38;23/03/2021
Sjælland;30-39;3845;2;2;109;23/03/2021
Syddanmark;30-39;4077;0;4;91;23/03/2021
;40-49;515;0;0;27;23/03/2021
Hovedstaden;40-49;15314;4;8;593;23/03/2021
Midtjylland;40-49;5520;1;1;177;23/03/2021
Nordjylland;40-49;2035;0;1;62;23/03/2021
Sjælland;40-49;5126;1;6;217;23/03/2021
Syddanmark;40-49;4733;1;5;146;23/03/2021
;50-59;335;1;3;41;23/03/2021
Hovedstaden;50-59;14234;28;18;908;23/03/2021
Midtjylland;50-59;5646;9;5;338;23/03/2021
Nordjylland;50-59;2325;3;3;104;23/03/2021
Sjælland;50-59;5260;8;5;321;23/03/2021
Syddanmark;50-59;4701;4;12;245;23/03/2021
;60-69;115;0;0;22;23/03/2021
Hovedstaden;60-69;7508;109;16;955;23/03/2021
Midtjylland;60-69;3169;28;4;313;23/03/2021
Nordjylland;60-69;1520;10;5;137;23/03/2021
Sjælland;60-69;2933;34;7;377;23/03/2021
Syddanmark;60-69;2640;16;10;272;23/03/2021
;70-79;28;0;0;10;23/03/2021
Hovedstaden;70-79;4725;322;29;1422;23/03/2021
Midtjylland;70-79;1830;86;4;435;23/03/2021
Nordjylland;70-79;966;61;3;215;23/03/2021
Sjælland;70-79;1906;104;10;546;23/03/2021
Syddanmark;70-79;1612;55;11;346;23/03/2021
;80-89;10;1;0;5;23/03/2021
Hovedstaden;80-89;2787;512;4;1265;23/03/2021
Midtjylland;80-89;888;149;1;306;23/03/2021
Nordjylland;80-89;440;62;1;175;23/03/2021
Sjælland;80-89;961;152;6;453;23/03/2021
Syddanmark;80-89;717;89;6;268;23/03/2021
;90+;5;0;0;0;23/03/2021
Hovedstaden;90+;988;303;1;385;23/03/2021
Midtjylland;90+;258;68;0;77;23/03/2021
Nordjylland;90+;125;43;0;38;23/03/2021
Sjælland;90+;271;88;1;131;23/03/2021
Syddanmark;90+;164;44;0;59;23/03/2021
