"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;73;0
Hovedstaden;0-9;7842;1
Midtjylland;0-9;2816;0
Nordjylland;0-9;901;0
Sjælland;0-9;1861;0
Syddanmark;0-9;2480;0
;10-19;86;0
Hovedstaden;10-19;15380;0
Midtjylland;10-19;6493;0
Nordjylland;10-19;2345;0
Sjælland;10-19;5146;0
Syddanmark;10-19;5524;0
;20-29;525;0
Hovedstaden;20-29;21774;0
Midtjylland;20-29;7868;0
Nordjylland;20-29;2860;0
Sjælland;20-29;4050;0
Syddanmark;20-29;5416;0
;30-39;574;0
Hovedstaden;30-39;15873;4
Midtjylland;30-39;5056;0
Nordjylland;30-39;1856;0
Sjælland;30-39;3845;2
Syddanmark;30-39;4077;0
;40-49;515;0
Hovedstaden;40-49;15314;4
Midtjylland;40-49;5520;1
Nordjylland;40-49;2035;0
Sjælland;40-49;5126;1
Syddanmark;40-49;4733;1
;50-59;335;1
Hovedstaden;50-59;14234;28
Midtjylland;50-59;5646;9
Nordjylland;50-59;2325;3
Sjælland;50-59;5260;8
Syddanmark;50-59;4701;4
;60-69;115;0
Hovedstaden;60-69;7508;109
Midtjylland;60-69;3169;28
Nordjylland;60-69;1520;10
Sjælland;60-69;2933;34
Syddanmark;60-69;2640;16
;70-79;28;0
Hovedstaden;70-79;4725;322
Midtjylland;70-79;1830;86
Nordjylland;70-79;966;61
Sjælland;70-79;1906;104
Syddanmark;70-79;1612;55
;80-89;10;1
Hovedstaden;80-89;2787;512
Midtjylland;80-89;888;149
Nordjylland;80-89;440;62
Sjælland;80-89;961;152
Syddanmark;80-89;717;89
;90+;5;0
Hovedstaden;90+;988;303
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;271;88
Syddanmark;90+;164;44
