"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;106425;5789;2342;127,4;1525899;82999;274494;14931;0,85
Midtjylland;39544;2988;834;63,0;1011705;76454;207122;15652;0,40
Nordjylland;15373;2610;357;60,6;484565;82273;102746;17445;0,35
Sjælland;31359;3754;620;74,2;624088;74719;123037;14731;0,50
Syddanmark;32064;2626;1297;106,2;925373;75797;215457;17648;0,60
