"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;71;2021-04-12
019;0-9;14;2021-04-12
101;0-9;2957;2021-04-12
147;0-9;420;2021-04-12
151;0-9;277;2021-04-12
153;0-9;300;2021-04-12
155;0-9;75;2021-04-12
157;0-9;224;2021-04-12
159;0-9;441;2021-04-12
161;0-9;122;2021-04-12
163;0-9;191;2021-04-12
165;0-9;203;2021-04-12
167;0-9;316;2021-04-12
169;0-9;418;2021-04-12
173;0-9;196;2021-04-12
175;0-9;244;2021-04-12
183;0-9;268;2021-04-12
185;0-9;251;2021-04-12
187;0-9;136;2021-04-12
190;0-9;163;2021-04-12
201;0-9;62;2021-04-12
210;0-9;167;2021-04-12
217;0-9;235;2021-04-12
219;0-9;170;2021-04-12
223;0-9;63;2021-04-12
230;0-9;153;2021-04-12
240;0-9;215;2021-04-12
250;0-9;97;2021-04-12
253;0-9;231;2021-04-12
259;0-9;197;2021-04-12
260;0-9;51;2021-04-12
265;0-9;284;2021-04-12
269;0-9;84;2021-04-12
270;0-9;98;2021-04-12
306;0-9;31;2021-04-12
316;0-9;167;2021-04-12
320;0-9;57;2021-04-12
326;0-9;80;2021-04-12
329;0-9;83;2021-04-12
330;0-9;229;2021-04-12
336;0-9;38;2021-04-12
340;0-9;47;2021-04-12
350;0-9;99;2021-04-12
360;0-9;45;2021-04-12
370;0-9;162;2021-04-12
376;0-9;92;2021-04-12
390;0-9;50;2021-04-12
400;0-9;27;2021-04-12
410;0-9;63;2021-04-12
420;0-9;37;2021-04-12
430;0-9;66;2021-04-12
440;0-9;63;2021-04-12
450;0-9;65;2021-04-12
461;0-9;647;2021-04-12
479;0-9;70;2021-04-12
480;0-9;42;2021-04-12
482;0-9;5;2021-04-12
492;0-9;3;2021-04-12
510;0-9;74;2021-04-12
530;0-9;47;2021-04-12
540;0-9;126;2021-04-12
550;0-9;41;2021-04-12
561;0-9;268;2021-04-12
563;0-9;1;2021-04-12
573;0-9;80;2021-04-12
575;0-9;74;2021-04-12
580;0-9;108;2021-04-12
607;0-9;114;2021-04-12
615;0-9;207;2021-04-12
621;0-9;395;2021-04-12
630;0-9;363;2021-04-12
657;0-9;161;2021-04-12
661;0-9;102;2021-04-12
