"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;70;0
Hovedstaden;0-9;7627;1
Midtjylland;0-9;2742;0
Nordjylland;0-9;889;0
Sjælland;0-9;1812;0
Syddanmark;0-9;2345;0
;10-19;84;0
Hovedstaden;10-19;15051;0
Midtjylland;10-19;6367;0
Nordjylland;10-19;2307;0
Sjælland;10-19;5054;0
Syddanmark;10-19;5297;0
;20-29;506;0
Hovedstaden;20-29;21379;0
Midtjylland;20-29;7750;0
Nordjylland;20-29;2812;0
Sjælland;20-29;3976;0
Syddanmark;20-29;5258;0
;30-39;546;0
Hovedstaden;30-39;15576;4
Midtjylland;30-39;4964;0
Nordjylland;30-39;1824;0
Sjælland;30-39;3783;2
Syddanmark;30-39;3938;0
;40-49;492;0
Hovedstaden;40-49;15032;4
Midtjylland;40-49;5449;1
Nordjylland;40-49;1993;0
Sjælland;40-49;5038;1
Syddanmark;40-49;4592;1
;50-59;318;1
Hovedstaden;50-59;13968;28
Midtjylland;50-59;5574;9
Nordjylland;50-59;2298;3
Sjælland;50-59;5185;8
Syddanmark;50-59;4607;4
;60-69;114;0
Hovedstaden;60-69;7386;108
Midtjylland;60-69;3132;28
Nordjylland;60-69;1494;10
Sjælland;60-69;2900;34
Syddanmark;60-69;2587;16
;70-79;28;0
Hovedstaden;70-79;4665;320
Midtjylland;70-79;1819;86
Nordjylland;70-79;946;60
Sjælland;70-79;1887;103
Syddanmark;70-79;1589;55
;80-89;10;1
Hovedstaden;80-89;2775;512
Midtjylland;80-89;886;149
Nordjylland;80-89;438;62
Sjælland;80-89;955;152
Syddanmark;80-89;708;88
;90+;5;0
Hovedstaden;90+;986;302
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;269;88
Syddanmark;90+;164;44
