"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;104186;5667;1848;100,5;1512946;82295;273074;14854;0,68
Midtjylland;38802;2932;900;68,0;999626;75542;196458;14846;0,46
Nordjylland;15064;2558;351;59,6;480978;81664;94271;16006;0,37
Sjælland;30777;3685;643;77,0;617042;73875;120928;14478;0,53
Syddanmark;30856;2527;1187;97,2;913273;74806;202673;16601;0,59
