"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;70;0
Hovedstaden;0-9;7604;1
Midtjylland;0-9;2716;0
Nordjylland;0-9;886;0
Sjælland;0-9;1807;0
Syddanmark;0-9;2317;0
;10-19;83;0
Hovedstaden;10-19;15021;0
Midtjylland;10-19;6343;0
Nordjylland;10-19;2291;0
Sjælland;10-19;5036;0
Syddanmark;10-19;5251;0
;20-29;501;0
Hovedstaden;20-29;21331;0
Midtjylland;20-29;7723;0
Nordjylland;20-29;2801;0
Sjælland;20-29;3962;0
Syddanmark;20-29;5227;0
;30-39;544;0
Hovedstaden;30-39;15535;4
Midtjylland;30-39;4943;0
Nordjylland;30-39;1819;0
Sjælland;30-39;3776;2
Syddanmark;30-39;3897;0
;40-49;488;0
Hovedstaden;40-49;14992;4
Midtjylland;40-49;5433;1
Nordjylland;40-49;1988;0
Sjælland;40-49;5028;1
Syddanmark;40-49;4553;1
;50-59;314;1
Hovedstaden;50-59;13929;28
Midtjylland;50-59;5561;9
Nordjylland;50-59;2290;3
Sjælland;50-59;5169;8
Syddanmark;50-59;4580;4
;60-69;114;0
Hovedstaden;60-69;7367;107
Midtjylland;60-69;3126;28
Nordjylland;60-69;1482;10
Sjælland;60-69;2893;34
Syddanmark;60-69;2576;16
;70-79;28;0
Hovedstaden;70-79;4656;320
Midtjylland;70-79;1813;86
Nordjylland;70-79;944;60
Sjælland;70-79;1883;103
Syddanmark;70-79;1586;55
;80-89;10;1
Hovedstaden;80-89;2767;512
Midtjylland;80-89;886;149
Nordjylland;80-89;438;62
Sjælland;80-89;954;152
Syddanmark;80-89;705;88
;90+;5;0
Hovedstaden;90+;984;302
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;269;88
Syddanmark;90+;164;44
