"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;70;2021-04-09
019;0-9;14;2021-04-09
101;0-9;2925;2021-04-09
147;0-9;420;2021-04-09
151;0-9;275;2021-04-09
153;0-9;297;2021-04-09
155;0-9;74;2021-04-09
157;0-9;222;2021-04-09
159;0-9;440;2021-04-09
161;0-9;121;2021-04-09
163;0-9;190;2021-04-09
165;0-9;201;2021-04-09
167;0-9;308;2021-04-09
169;0-9;407;2021-04-09
173;0-9;196;2021-04-09
175;0-9;236;2021-04-09
183;0-9;264;2021-04-09
185;0-9;251;2021-04-09
187;0-9;134;2021-04-09
190;0-9;160;2021-04-09
201;0-9;60;2021-04-09
210;0-9;166;2021-04-09
217;0-9;234;2021-04-09
219;0-9;169;2021-04-09
223;0-9;61;2021-04-09
230;0-9;150;2021-04-09
240;0-9;213;2021-04-09
250;0-9;96;2021-04-09
253;0-9;228;2021-04-09
259;0-9;194;2021-04-09
260;0-9;50;2021-04-09
265;0-9;283;2021-04-09
269;0-9;83;2021-04-09
270;0-9;98;2021-04-09
306;0-9;30;2021-04-09
316;0-9;163;2021-04-09
320;0-9;56;2021-04-09
326;0-9;77;2021-04-09
329;0-9;83;2021-04-09
330;0-9;228;2021-04-09
336;0-9;37;2021-04-09
340;0-9;47;2021-04-09
350;0-9;99;2021-04-09
360;0-9;43;2021-04-09
370;0-9;162;2021-04-09
376;0-9;92;2021-04-09
390;0-9;50;2021-04-09
400;0-9;27;2021-04-09
410;0-9;60;2021-04-09
420;0-9;37;2021-04-09
430;0-9;66;2021-04-09
440;0-9;62;2021-04-09
450;0-9;65;2021-04-09
461;0-9;645;2021-04-09
479;0-9;69;2021-04-09
480;0-9;41;2021-04-09
482;0-9;5;2021-04-09
492;0-9;3;2021-04-09
510;0-9;72;2021-04-09
530;0-9;46;2021-04-09
540;0-9;123;2021-04-09
550;0-9;40;2021-04-09
561;0-9;268;2021-04-09
563;0-9;1;2021-04-09
573;0-9;75;2021-04-09
