"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;79;0
Hovedstaden;0-9;8198;1
Midtjylland;0-9;2917;0
Nordjylland;0-9;921;0
Sjælland;0-9;1908;0
Syddanmark;0-9;2629;0
;10-19;88;0
Hovedstaden;10-19;15692;0
Midtjylland;10-19;6473;0
Nordjylland;10-19;2322;0
Sjælland;10-19;5160;0
Syddanmark;10-19;5673;0
;20-29;492;0
Hovedstaden;20-29;22228;0
Midtjylland;20-29;7859;0
Nordjylland;20-29;2873;0
Sjælland;20-29;4125;0
Syddanmark;20-29;5543;0
;30-39;546;0
Hovedstaden;30-39;16252;4
Midtjylland;30-39;5071;0
Nordjylland;30-39;1841;0
Sjælland;30-39;3922;2
Syddanmark;30-39;4192;0
;40-49;498;0
Hovedstaden;40-49;15696;4
Midtjylland;40-49;5543;1
Nordjylland;40-49;2037;0
Sjælland;40-49;5163;1
Syddanmark;40-49;4873;1
;50-59;323;1
Hovedstaden;50-59;14572;28
Midtjylland;50-59;5653;9
Nordjylland;50-59;2315;3
Sjælland;50-59;5315;9
Syddanmark;50-59;4845;4
;60-69;118;0
Hovedstaden;60-69;7657;110
Midtjylland;60-69;3130;28
Nordjylland;60-69;1497;10
Sjælland;60-69;2925;35
Syddanmark;60-69;2696;16
;70-79;27;0
Hovedstaden;70-79;4776;325
Midtjylland;70-79;1814;86
Nordjylland;70-79;951;60
Sjælland;70-79;1893;107
Syddanmark;70-79;1642;56
;80-89;10;1
Hovedstaden;80-89;2807;513
Midtjylland;80-89;881;149
Nordjylland;80-89;436;62
Sjælland;80-89;955;154
Syddanmark;80-89;727;90
;90+;9;1
Hovedstaden;90+;992;304
Midtjylland;90+;260;69
Nordjylland;90+;125;43
Sjælland;90+;273;88
Syddanmark;90+;165;44
