"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;79;0;0;2;31/03/2021
Hovedstaden;0-9;8198;1;0;109;31/03/2021
Midtjylland;0-9;2917;0;0;22;31/03/2021
Nordjylland;0-9;921;0;0;6;31/03/2021
Sjælland;0-9;1908;0;0;18;31/03/2021
Syddanmark;0-9;2629;0;1;21;31/03/2021
;10-19;88;0;0;0;31/03/2021
Hovedstaden;10-19;15692;0;1;88;31/03/2021
Midtjylland;10-19;6473;0;0;26;31/03/2021
Nordjylland;10-19;2322;0;0;8;31/03/2021
Sjælland;10-19;5160;0;0;39;31/03/2021
Syddanmark;10-19;5673;0;0;17;31/03/2021
;20-29;492;0;0;10;31/03/2021
Hovedstaden;20-29;22228;0;6;289;31/03/2021
Midtjylland;20-29;7859;0;0;77;31/03/2021
Nordjylland;20-29;2873;0;0;37;31/03/2021
Sjælland;20-29;4125;0;0;76;31/03/2021
Syddanmark;20-29;5543;0;5;76;31/03/2021
;30-39;546;0;0;21;31/03/2021
Hovedstaden;30-39;16252;4;5;464;31/03/2021
Midtjylland;30-39;5071;0;0;114;31/03/2021
Nordjylland;30-39;1841;0;1;39;31/03/2021
Sjælland;30-39;3922;2;4;115;31/03/2021
Syddanmark;30-39;4192;0;4;96;31/03/2021
;40-49;498;0;0;29;31/03/2021
Hovedstaden;40-49;15696;4;9;606;31/03/2021
Midtjylland;40-49;5543;1;0;183;31/03/2021
Nordjylland;40-49;2037;0;2;65;31/03/2021
Sjælland;40-49;5163;1;3;219;31/03/2021
Syddanmark;40-49;4873;1;3;155;31/03/2021
;50-59;323;1;0;41;31/03/2021
Hovedstaden;50-59;14572;28;21;932;31/03/2021
Midtjylland;50-59;5653;9;9;348;31/03/2021
Nordjylland;50-59;2315;3;2;107;31/03/2021
Sjælland;50-59;5315;9;7;327;31/03/2021
Syddanmark;50-59;4845;4;11;260;31/03/2021
;60-69;118;0;1;23;31/03/2021
Hovedstaden;60-69;7657;110;16;977;31/03/2021
Midtjylland;60-69;3130;28;5;321;31/03/2021
Nordjylland;60-69;1497;10;6;138;31/03/2021
Sjælland;60-69;2925;35;3;379;31/03/2021
Syddanmark;60-69;2696;16;8;278;31/03/2021
;70-79;27;0;1;11;31/03/2021
Hovedstaden;70-79;4776;325;31;1450;31/03/2021
Midtjylland;70-79;1814;86;6;446;31/03/2021
Nordjylland;70-79;951;60;7;220;31/03/2021
Sjælland;70-79;1893;107;9;554;31/03/2021
Syddanmark;70-79;1642;56;10;354;31/03/2021
;80-89;10;1;0;5;31/03/2021
Hovedstaden;80-89;2807;513;9;1276;31/03/2021
Midtjylland;80-89;881;149;1;310;31/03/2021
Nordjylland;80-89;436;62;1;175;31/03/2021
Sjælland;80-89;955;154;3;455;31/03/2021
Syddanmark;80-89;727;90;5;270;31/03/2021
;90+;9;1;0;0;31/03/2021
Hovedstaden;90+;992;304;1;386;31/03/2021
Midtjylland;90+;260;69;0;78;31/03/2021
Nordjylland;90+;125;43;0;38;31/03/2021
Sjælland;90+;273;88;1;131;31/03/2021
Syddanmark;90+;165;44;0;59;31/03/2021
