"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;108870;5922;2614;142,2;1542862;83922;288258;15679;0,91
Midtjylland;39601;2993;704;53,2;1023665;77358;198602;15008;0,35
Nordjylland;15318;2601;242;41,1;487922;82843;96285;16348;0,25
Sjælland;31639;3788;540;64,7;632118;75680;120195;14390;0,45
Syddanmark;32985;2702;972;79,6;938739;76892;209377;17150;0,46
