"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;2;0;0;0;31/03/2021
Hovedstaden;0-9;318;0;0;5;31/03/2021
Midtjylland;0-9;94;0;0;0;31/03/2021
Nordjylland;0-9;19;0;0;0;31/03/2021
Sjælland;0-9;43;0;0;1;31/03/2021
Syddanmark;0-9;125;0;0;0;31/03/2021
;10-19;3;0;0;0;31/03/2021
Hovedstaden;10-19;360;0;1;2;31/03/2021
Midtjylland;10-19;113;0;0;0;31/03/2021
Nordjylland;10-19;38;0;0;0;31/03/2021
Sjælland;10-19;59;0;0;1;31/03/2021
Syddanmark;10-19;180;0;0;0;31/03/2021
;20-29;10;0;0;0;31/03/2021
Hovedstaden;20-29;514;0;2;6;31/03/2021
Midtjylland;20-29;122;0;0;3;31/03/2021
Nordjylland;20-29;56;0;0;2;31/03/2021
Sjælland;20-29;111;0;0;2;31/03/2021
Syddanmark;20-29;164;0;2;4;31/03/2021
;30-39;18;0;0;1;31/03/2021
Hovedstaden;30-39;396;0;0;7;31/03/2021
Midtjylland;30-39;106;0;0;0;31/03/2021
Nordjylland;30-39;28;0;0;0;31/03/2021
Sjælland;30-39;104;0;1;4;31/03/2021
Syddanmark;30-39;132;0;0;1;31/03/2021
;40-49;23;0;0;1;31/03/2021
Hovedstaden;40-49;392;0;4;8;31/03/2021
Midtjylland;40-49;100;0;0;2;31/03/2021
Nordjylland;40-49;44;0;0;1;31/03/2021
Sjælland;40-49;71;0;0;1;31/03/2021
Syddanmark;40-49;138;0;1;2;31/03/2021
;50-59;11;0;0;0;31/03/2021
Hovedstaden;50-59;339;0;7;9;31/03/2021
Midtjylland;50-59;98;0;3;5;31/03/2021
Nordjylland;50-59;34;0;0;1;31/03/2021
Sjælland;50-59;85;0;1;2;31/03/2021
Syddanmark;50-59;130;0;1;3;31/03/2021
;60-69;4;0;1;1;31/03/2021
Hovedstaden;60-69;176;0;7;11;31/03/2021
Midtjylland;60-69;43;0;2;4;31/03/2021
Nordjylland;60-69;12;0;0;0;31/03/2021
Sjælland;60-69;39;0;0;1;31/03/2021
Syddanmark;60-69;59;0;1;1;31/03/2021
;70-79;1;0;1;1;31/03/2021
Hovedstaden;70-79;82;0;11;18;31/03/2021
Midtjylland;70-79;24;0;3;6;31/03/2021
Nordjylland;70-79;10;0;2;2;31/03/2021
Sjælland;70-79;21;0;6;8;31/03/2021
Syddanmark;70-79;34;0;3;6;31/03/2021
Hovedstaden;80-89;33;0;8;10;31/03/2021
Midtjylland;80-89;3;0;1;2;31/03/2021
Nordjylland;80-89;1;0;0;0;31/03/2021
Sjælland;80-89;5;0;0;1;31/03/2021
Syddanmark;80-89;9;0;1;1;31/03/2021
;90+;1;0;0;0;31/03/2021
Hovedstaden;90+;4;0;1;1;31/03/2021
Midtjylland;90+;1;0;0;1;31/03/2021
Sjælland;90+;2;0;0;0;31/03/2021
Syddanmark;90+;1;0;0;0;31/03/2021
