"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;110751;6024;2278;123,9;1555051;84585;285041;15504;0,80
Midtjylland;40159;3035;687;51,9;1033378;78092;199447;15072;0,34
Nordjylland;15571;2644;306;52,0;490852;83340;92512;15707;0,33
Sjælland;32023;3834;466;55,8;637897;76372;119635;14323;0,39
Syddanmark;33541;2747;689;56,4;948456;77688;205227;16810;0,34
