"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;4;0;0;0;06/04/2021
Hovedstaden;0-9;215;0;0;3;06/04/2021
Midtjylland;0-9;76;0;0;0;06/04/2021
Nordjylland;0-9;22;0;0;1;06/04/2021
Sjælland;0-9;42;0;0;0;06/04/2021
Syddanmark;0-9;90;0;0;0;06/04/2021
;10-19;3;0;0;0;06/04/2021
Hovedstaden;10-19;329;0;0;0;06/04/2021
Midtjylland;10-19;164;0;0;0;06/04/2021
Nordjylland;10-19;62;0;0;0;06/04/2021
Sjælland;10-19;58;0;0;0;06/04/2021
Syddanmark;10-19;132;0;0;0;06/04/2021
;20-29;14;0;0;1;06/04/2021
Hovedstaden;20-29;466;0;1;2;06/04/2021
Midtjylland;20-29;100;0;2;3;06/04/2021
Nordjylland;20-29;62;0;0;1;06/04/2021
Sjælland;20-29;60;0;0;0;06/04/2021
Syddanmark;20-29;111;0;0;1;06/04/2021
;30-39;20;0;0;0;06/04/2021
Hovedstaden;30-39;372;0;3;5;06/04/2021
Midtjylland;30-39;117;0;0;1;06/04/2021
Nordjylland;30-39;44;0;0;0;06/04/2021
Sjælland;30-39;69;0;0;0;06/04/2021
Syddanmark;30-39;83;0;1;2;06/04/2021
;40-49;15;0;0;2;06/04/2021
Hovedstaden;40-49;365;0;9;16;06/04/2021
Midtjylland;40-49;93;0;0;2;06/04/2021
Nordjylland;40-49;40;0;0;0;06/04/2021
Sjælland;40-49;82;0;0;1;06/04/2021
Syddanmark;40-49;98;0;2;2;06/04/2021
;50-59;6;0;0;0;06/04/2021
Hovedstaden;50-59;284;0;6;9;06/04/2021
Midtjylland;50-59;72;0;2;4;06/04/2021
Nordjylland;50-59;49;0;0;0;06/04/2021
Sjælland;50-59;88;0;2;2;06/04/2021
Syddanmark;50-59;85;0;3;6;06/04/2021
;60-69;2;0;1;1;06/04/2021
Hovedstaden;60-69;136;0;5;9;06/04/2021
Midtjylland;60-69;46;0;4;5;06/04/2021
Nordjylland;60-69;17;0;0;0;06/04/2021
Sjælland;60-69;39;1;0;2;06/04/2021
Syddanmark;60-69;46;0;1;1;06/04/2021
;70-79;1;0;0;1;06/04/2021
Hovedstaden;70-79;83;0;7;14;06/04/2021
Midtjylland;70-79;15;0;2;3;06/04/2021
Nordjylland;70-79;10;0;1;1;06/04/2021
Sjælland;70-79;23;0;2;3;06/04/2021
Syddanmark;70-79;28;0;5;7;06/04/2021
Hovedstaden;80-89;25;2;5;9;06/04/2021
Midtjylland;80-89;4;0;1;1;06/04/2021
Sjælland;80-89;5;0;0;1;06/04/2021
Syddanmark;80-89;14;0;3;4;06/04/2021
Hovedstaden;90+;3;0;1;1;06/04/2021
Syddanmark;90+;2;1;0;1;06/04/2021
