"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;84;0
Hovedstaden;0-9;8374;1
Midtjylland;0-9;2974;0
Nordjylland;0-9;938;0
Sjælland;0-9;1941;0
Syddanmark;0-9;2693;0
;10-19;91;0
Hovedstaden;10-19;15974;0
Midtjylland;10-19;6618;0
Nordjylland;10-19;2378;0
Sjælland;10-19;5214;0
Syddanmark;10-19;5790;0
;20-29;507;0
Hovedstaden;20-29;22614;0
Midtjylland;20-29;7937;0
Nordjylland;20-29;2923;0
Sjælland;20-29;4178;0
Syddanmark;20-29;5634;0
;30-39;571;0
Hovedstaden;30-39;16564;4
Midtjylland;30-39;5163;0
Nordjylland;30-39;1875;0
Sjælland;30-39;3976;2
Syddanmark;30-39;4260;0
;40-49;519;0
Hovedstaden;40-49;16007;4
Midtjylland;40-49;5619;1
Nordjylland;40-49;2071;0
Sjælland;40-49;5224;1
Syddanmark;40-49;4956;1
;50-59;332;1
Hovedstaden;50-59;14811;28
Midtjylland;50-59;5706;9
Nordjylland;50-59;2357;3
Sjælland;50-59;5388;9
Syddanmark;50-59;4910;4
;60-69;119;0
Hovedstaden;60-69;7757;111
Midtjylland;60-69;3170;28
Nordjylland;60-69;1512;10
Sjælland;60-69;2958;36
Syddanmark;60-69;2731;16
;70-79;27;0
Hovedstaden;70-79;4835;327
Midtjylland;70-79;1827;86
Nordjylland;70-79;956;60
Sjælland;70-79;1911;108
Syddanmark;70-79;1663;56
;80-89;10;1
Hovedstaden;80-89;2822;519
Midtjylland;80-89;885;149
Nordjylland;80-89;436;62
Sjælland;80-89;960;155
Syddanmark;80-89;737;90
;90+;12;1
Hovedstaden;90+;993;304
Midtjylland;90+;260;69
Nordjylland;90+;125;43
Sjælland;90+;273;88
Syddanmark;90+;167;45
