"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;57;2021-03-16
019;0-9;13;2021-03-16
101;0-9;2661;2021-03-16
147;0-9;384;2021-03-16
151;0-9;236;2021-03-16
153;0-9;252;2021-03-16
155;0-9;73;2021-03-16
157;0-9;211;2021-03-16
159;0-9;368;2021-03-16
161;0-9;108;2021-03-16
163;0-9;178;2021-03-16
165;0-9;189;2021-03-16
167;0-9;295;2021-03-16
169;0-9;345;2021-03-16
173;0-9;183;2021-03-16
175;0-9;216;2021-03-16
183;0-9;222;2021-03-16
185;0-9;241;2021-03-16
187;0-9;120;2021-03-16
190;0-9;130;2021-03-16
201;0-9;54;2021-03-16
210;0-9;140;2021-03-16
217;0-9;219;2021-03-16
219;0-9;161;2021-03-16
223;0-9;46;2021-03-16
230;0-9;138;2021-03-16
240;0-9;204;2021-03-16
250;0-9;85;2021-03-16
253;0-9;207;2021-03-16
259;0-9;183;2021-03-16
260;0-9;29;2021-03-16
265;0-9;266;2021-03-16
269;0-9;82;2021-03-16
270;0-9;89;2021-03-16
306;0-9;28;2021-03-16
316;0-9;145;2021-03-16
320;0-9;51;2021-03-16
326;0-9;75;2021-03-16
329;0-9;74;2021-03-16
330;0-9;209;2021-03-16
336;0-9;37;2021-03-16
340;0-9;47;2021-03-16
350;0-9;83;2021-03-16
360;0-9;33;2021-03-16
370;0-9;153;2021-03-16
376;0-9;85;2021-03-16
390;0-9;49;2021-03-16
400;0-9;27;2021-03-16
410;0-9;55;2021-03-16
420;0-9;35;2021-03-16
430;0-9;51;2021-03-16
440;0-9;48;2021-03-16
450;0-9;59;2021-03-16
461;0-9;558;2021-03-16
479;0-9;49;2021-03-16
480;0-9;36;2021-03-16
482;0-9;5;2021-03-16
492;0-9;3;2021-03-16
510;0-9;59;2021-03-16
530;0-9;28;2021-03-16
540;0-9;121;2021-03-16
550;0-9;36;2021-03-16
561;0-9;210;2021-03-16
563;0-9;1;2021-03-16
573;0-9;70;2021-03-16
575;0-9;64;2021-03-16
580;0-9;93;2021-03-16
607;0-9;93;2021-03-16
615;0-9;150;2021-03-16
621;0-9;353;2021-03-16
630;0-9;290;2021-03-16
657;0-9;128;2021-03-16
661;0-9;101;2021-03-16
665;0-9;23;2021-03-16
671;0-9;40;2021-03-16
706;0-9;42;2021-03-16
707;0-9;58;2021-03-16
710;0-9;87;2021-03-16
727;0-9;45;2021-03-16
730;0-9;199;2021-03-16
740;0-9;220;2021-03-16
741;0-9;2;2021-03-16
746;0-9;142;2021-03-16
751;0-9;1142;2021-03-16
756;0-9;67;2021-03-16
760;0-9;42;2021-03-16
766;0-9;61;2021-03-16
773;0-9;26;2021-03-16
779;0-9;48;2021-03-16
787;0-9;46;2021-03-16
791;0-9;119;2021-03-16
810;0-9;60;2021-03-16
813;0-9;70;2021-03-16
820;0-9;23;2021-03-16
840;0-9;53;2021-03-16
846;0-9;36;2021-03-16
849;0-9;66;2021-03-16
851;0-9;429;2021-03-16
860;0-9;77;2021-03-16
;10-19;63;2021-03-16
011;10-19;3;2021-03-16
019;10-19;17;2021-03-16
101;10-19;4587;2021-03-16
147;10-19;616;2021-03-16
151;10-19;466;2021-03-16
153;10-19;451;2021-03-16
155;10-19;105;2021-03-16
157;10-19;715;2021-03-16
159;10-19;662;2021-03-16
161;10-19;222;2021-03-16
163;10-19;402;2021-03-16
165;10-19;377;2021-03-16
167;10-19;637;2021-03-16
169;10-19;656;2021-03-16
173;10-19;421;2021-03-16
175;10-19;444;2021-03-16
183;10-19;436;2021-03-16
185;10-19;439;2021-03-16
187;10-19;228;2021-03-16
190;10-19;322;2021-03-16
201;10-19;150;2021-03-16
210;10-19;280;2021-03-16
217;10-19;458;2021-03-16
219;10-19;330;2021-03-16
223;10-19;153;2021-03-16
230;10-19;504;2021-03-16
240;10-19;340;2021-03-16
250;10-19;207;2021-03-16
253;10-19;470;2021-03-16
259;10-19;486;2021-03-16
260;10-19;96;2021-03-16
265;10-19;543;2021-03-16
269;10-19;284;2021-03-16
270;10-19;232;2021-03-16
306;10-19;144;2021-03-16
316;10-19;370;2021-03-16
320;10-19;168;2021-03-16
326;10-19;287;2021-03-16
329;10-19;201;2021-03-16
330;10-19;692;2021-03-16
336;10-19;114;2021-03-16
340;10-19;100;2021-03-16
350;10-19;175;2021-03-16
360;10-19;146;2021-03-16
370;10-19;443;2021-03-16
376;10-19;193;2021-03-16
390;10-19;220;2021-03-16
400;10-19;85;2021-03-16
410;10-19;147;2021-03-16
420;10-19;103;2021-03-16
430;10-19;145;2021-03-16
440;10-19;122;2021-03-16
450;10-19;132;2021-03-16
461;10-19;1273;2021-03-16
479;10-19;208;2021-03-16
480;10-19;115;2021-03-16
482;10-19;23;2021-03-16
492;10-19;5;2021-03-16
510;10-19;187;2021-03-16
530;10-19;92;2021-03-16
540;10-19;373;2021-03-16
550;10-19;166;2021-03-16
561;10-19;465;2021-03-16
563;10-19;7;2021-03-16
573;10-19;173;2021-03-16
575;10-19;136;2021-03-16
580;10-19;189;2021-03-16
607;10-19;201;2021-03-16
615;10-19;367;2021-03-16
621;10-19;470;2021-03-16
630;10-19;519;2021-03-16
657;10-19;282;2021-03-16
661;10-19;306;2021-03-16
665;10-19;52;2021-03-16
671;10-19;139;2021-03-16
706;10-19;102;2021-03-16
707;10-19;91;2021-03-16
710;10-19;214;2021-03-16
727;10-19;126;2021-03-16
730;10-19;457;2021-03-16
740;10-19;500;2021-03-16
741;10-19;7;2021-03-16
746;10-19;328;2021-03-16
751;10-19;2384;2021-03-16
756;10-19;178;2021-03-16
760;10-19;146;2021-03-16
766;10-19;201;2021-03-16
773;10-19;58;2021-03-16
779;10-19;140;2021-03-16
787;10-19;149;2021-03-16
791;10-19;323;2021-03-16
810;10-19;141;2021-03-16
813;10-19;212;2021-03-16
820;10-19;101;2021-03-16
825;10-19;1;2021-03-16
840;10-19;122;2021-03-16
846;10-19;134;2021-03-16
849;10-19;148;2021-03-16
851;10-19;1023;2021-03-16
860;10-19;202;2021-03-16
;20-29;393;2021-03-16
011;20-29;98;2021-03-16
019;20-29;10;2021-03-16
101;20-29;12008;2021-03-16
147;20-29;1539;2021-03-16
151;20-29;407;2021-03-16
153;20-29;438;2021-03-16
155;20-29;60;2021-03-16
157;20-29;427;2021-03-16
159;20-29;658;2021-03-16
161;20-29;244;2021-03-16
163;20-29;269;2021-03-16
165;20-29;310;2021-03-16
167;20-29;540;2021-03-16
169;20-29;615;2021-03-16
173;20-29;401;2021-03-16
175;20-29;431;2021-03-16
183;20-29;358;2021-03-16
185;20-29;296;2021-03-16
187;20-29;169;2021-03-16
190;20-29;200;2021-03-16
201;20-29;84;2021-03-16
210;20-29;221;2021-03-16
217;20-29;352;2021-03-16
219;20-29;303;2021-03-16
223;20-29;71;2021-03-16
230;20-29;254;2021-03-16
240;20-29;194;2021-03-16
250;20-29;196;2021-03-16
253;20-29;362;2021-03-16
259;20-29;408;2021-03-16
260;20-29;107;2021-03-16
265;20-29;619;2021-03-16
269;20-29;118;2021-03-16
270;20-29;128;2021-03-16
306;20-29;83;2021-03-16
316;20-29;301;2021-03-16
320;20-29;141;2021-03-16
326;20-29;147;2021-03-16
329;20-29;216;2021-03-16
330;20-29;508;2021-03-16
336;20-29;73;2021-03-16
340;20-29;93;2021-03-16
350;20-29;98;2021-03-16
360;20-29;87;2021-03-16
370;20-29;404;2021-03-16
376;20-29;185;2021-03-16
390;20-29;119;2021-03-16
400;20-29;51;2021-03-16
410;20-29;75;2021-03-16
420;20-29;72;2021-03-16
430;20-29;119;2021-03-16
440;20-29;53;2021-03-16
450;20-29;89;2021-03-16
461;20-29;1907;2021-03-16
479;20-29;139;2021-03-16
480;20-29;70;2021-03-16
482;20-29;10;2021-03-16
492;20-29;4;2021-03-16
510;20-29;173;2021-03-16
530;20-29;71;2021-03-16
540;20-29;237;2021-03-16
550;20-29;80;2021-03-16
561;20-29;493;2021-03-16
563;20-29;2;2021-03-16
573;20-29;156;2021-03-16
575;20-29;126;2021-03-16
580;20-29;155;2021-03-16
607;20-29;182;2021-03-16
615;20-29;474;2021-03-16
621;20-29;460;2021-03-16
630;20-29;554;2021-03-16
657;20-29;304;2021-03-16
661;20-29;257;2021-03-16
665;20-29;44;2021-03-16
671;20-29;71;2021-03-16
706;20-29;79;2021-03-16
707;20-29;80;2021-03-16
710;20-29;119;2021-03-16
727;20-29;36;2021-03-16
730;20-29;406;2021-03-16
740;20-29;315;2021-03-16
741;20-29;4;2021-03-16
746;20-29;177;2021-03-16
751;20-29;4581;2021-03-16
756;20-29;125;2021-03-16
760;20-29;164;2021-03-16
766;20-29;137;2021-03-16
773;20-29;73;2021-03-16
779;20-29;125;2021-03-16
787;20-29;134;2021-03-16
791;20-29;225;2021-03-16
810;20-29;100;2021-03-16
813;20-29;153;2021-03-16
820;20-29;98;2021-03-16
825;20-29;3;2021-03-16
840;20-29;52;2021-03-16
846;20-29;131;2021-03-16
849;20-29;91;2021-03-16
851;20-29;1815;2021-03-16
860;20-29;151;2021-03-16
;30-39;346;2021-03-16
011;30-39;174;2021-03-16
019;30-39;23;2021-03-16
101;30-39;7105;2021-03-16
147;30-39;905;2021-03-16
151;30-39;373;2021-03-16
153;30-39;412;2021-03-16
155;30-39;78;2021-03-16
157;30-39;347;2021-03-16
159;30-39;593;2021-03-16
161;30-39;259;2021-03-16
163;30-39;287;2021-03-16
165;30-39;290;2021-03-16
167;30-39;520;2021-03-16
169;30-39;597;2021-03-16
173;30-39;282;2021-03-16
175;30-39;380;2021-03-16
183;30-39;365;2021-03-16
185;30-39;322;2021-03-16
187;30-39;229;2021-03-16
190;30-39;217;2021-03-16
201;30-39;98;2021-03-16
210;30-39;210;2021-03-16
217;30-39;329;2021-03-16
219;30-39;281;2021-03-16
223;30-39;73;2021-03-16
230;30-39;229;2021-03-16
240;30-39;278;2021-03-16
250;30-39;161;2021-03-16
253;30-39;350;2021-03-16
259;30-39;354;2021-03-16
260;30-39;97;2021-03-16
265;30-39;510;2021-03-16
269;30-39;169;2021-03-16
270;30-39;148;2021-03-16
306;30-39;78;2021-03-16
316;30-39;299;2021-03-16
320;30-39;151;2021-03-16
326;30-39;147;2021-03-16
329;30-39;177;2021-03-16
330;30-39;438;2021-03-16
336;30-39;89;2021-03-16
340;30-39;102;2021-03-16
350;30-39;153;2021-03-16
360;30-39;100;2021-03-16
370;30-39;332;2021-03-16
376;30-39;195;2021-03-16
390;30-39;132;2021-03-16
400;30-39;70;2021-03-16
410;30-39;78;2021-03-16
420;30-39;88;2021-03-16
430;30-39;110;2021-03-16
440;30-39;45;2021-03-16
450;30-39;101;2021-03-16
461;30-39;960;2021-03-16
479;30-39;96;2021-03-16
480;30-39;65;2021-03-16
482;30-39;14;2021-03-16
492;30-39;1;2021-03-16
510;30-39;95;2021-03-16
530;30-39;80;2021-03-16
540;30-39;178;2021-03-16
550;30-39;66;2021-03-16
561;30-39;350;2021-03-16
563;30-39;5;2021-03-16
573;30-39;148;2021-03-16
575;30-39;125;2021-03-16
580;30-39;140;2021-03-16
607;30-39;150;2021-03-16
615;30-39;368;2021-03-16
621;30-39;480;2021-03-16
630;30-39;522;2021-03-16
657;30-39;309;2021-03-16
661;30-39;218;2021-03-16
665;30-39;49;2021-03-16
671;30-39;78;2021-03-16
706;30-39;81;2021-03-16
707;30-39;74;2021-03-16
710;30-39;161;2021-03-16
727;30-39;56;2021-03-16
730;30-39;326;2021-03-16
740;30-39;320;2021-03-16
741;30-39;6;2021-03-16
746;30-39;243;2021-03-16
751;30-39;1947;2021-03-16
756;30-39;119;2021-03-16
760;30-39;130;2021-03-16
766;30-39;119;2021-03-16
773;30-39;42;2021-03-16
779;30-39;104;2021-03-16
787;30-39;119;2021-03-16
791;30-39;235;2021-03-16
810;30-39;128;2021-03-16
813;30-39;152;2021-03-16
820;30-39;105;2021-03-16
840;30-39;96;2021-03-16
846;30-39;118;2021-03-16
849;30-39;116;2021-03-16
851;30-39;775;2021-03-16
860;30-39;168;2021-03-16
961;30-39;1;2021-03-16
;40-49;303;2021-03-16
011;40-49;169;2021-03-16
012;40-49;1;2021-03-16
019;40-49;15;2021-03-16
101;40-49;5035;2021-03-16
147;40-49;786;2021-03-16
151;40-49;470;2021-03-16
153;40-49;424;2021-03-16
155;40-49;105;2021-03-16
157;40-49;572;2021-03-16
159;40-49;606;2021-03-16
161;40-49;218;2021-03-16
163;40-49;337;2021-03-16
165;40-49;346;2021-03-16
167;40-49;580;2021-03-16
169;40-49;598;2021-03-16
173;40-49;376;2021-03-16
175;40-49;444;2021-03-16
183;40-49;372;2021-03-16
185;40-49;468;2021-03-16
187;40-49;218;2021-03-16
190;40-49;269;2021-03-16
201;40-49;135;2021-03-16
210;40-49;270;2021-03-16
217;40-49;449;2021-03-16
219;40-49;319;2021-03-16
223;40-49;130;2021-03-16
230;40-49;378;2021-03-16
240;40-49;396;2021-03-16
250;40-49;250;2021-03-16
253;40-49;488;2021-03-16
259;40-49;464;2021-03-16
260;40-49;118;2021-03-16
265;40-49;545;2021-03-16
269;40-49;216;2021-03-16
270;40-49;228;2021-03-16
306;40-49;125;2021-03-16
316;40-49;413;2021-03-16
320;40-49;218;2021-03-16
326;40-49;213;2021-03-16
329;40-49;254;2021-03-16
330;40-49;588;2021-03-16
336;40-49;135;2021-03-16
340;40-49;164;2021-03-16
350;40-49;190;2021-03-16
360;40-49;164;2021-03-16
370;40-49;432;2021-03-16
376;40-49;224;2021-03-16
390;40-49;195;2021-03-16
400;40-49;95;2021-03-16
410;40-49;131;2021-03-16
420;40-49;103;2021-03-16
430;40-49;146;2021-03-16
440;40-49;80;2021-03-16
450;40-49;131;2021-03-16
461;40-49;901;2021-03-16
479;40-49;201;2021-03-16
480;40-49;92;2021-03-16
482;40-49;17;2021-03-16
492;40-49;5;2021-03-16
510;40-49;142;2021-03-16
530;40-49;98;2021-03-16
540;40-49;316;2021-03-16
550;40-49;105;2021-03-16
561;40-49;448;2021-03-16
563;40-49;11;2021-03-16
573;40-49;159;2021-03-16
575;40-49;167;2021-03-16
580;40-49;150;2021-03-16
607;40-49;192;2021-03-16
615;40-49;427;2021-03-16
621;40-49;466;2021-03-16
630;40-49;492;2021-03-16
657;40-49;314;2021-03-16
661;40-49;292;2021-03-16
665;40-49;43;2021-03-16
671;40-49;105;2021-03-16
706;40-49;114;2021-03-16
707;40-49;91;2021-03-16
710;40-49;190;2021-03-16
727;40-49;90;2021-03-16
730;40-49;386;2021-03-16
740;40-49;407;2021-03-16
741;40-49;8;2021-03-16
746;40-49;338;2021-03-16
751;40-49;1703;2021-03-16
756;40-49;152;2021-03-16
760;40-49;141;2021-03-16
766;40-49;193;2021-03-16
773;40-49;84;2021-03-16
779;40-49;128;2021-03-16
787;40-49;136;2021-03-16
791;40-49;311;2021-03-16
810;40-49;136;2021-03-16
813;40-49;168;2021-03-16
820;40-49;94;2021-03-16
825;40-49;5;2021-03-16
840;40-49;102;2021-03-16
846;40-49;144;2021-03-16
849;40-49;149;2021-03-16
851;40-49;777;2021-03-16
860;40-49;193;2021-03-16
;50-59;213;2021-03-16
011;50-59;92;2021-03-16
012;50-59;2;2021-03-16
019;50-59;7;2021-03-16
101;50-59;4185;2021-03-16
147;50-59;680;2021-03-16
151;50-59;487;2021-03-16
153;50-59;382;2021-03-16
155;50-59;127;2021-03-16
157;50-59;596;2021-03-16
159;50-59;611;2021-03-16
161;50-59;198;2021-03-16
163;50-59;310;2021-03-16
165;50-59;291;2021-03-16
167;50-59;473;2021-03-16
169;50-59;488;2021-03-16
173;50-59;372;2021-03-16
175;50-59;364;2021-03-16
183;50-59;309;2021-03-16
185;50-59;354;2021-03-16
187;50-59;161;2021-03-16
190;50-59;276;2021-03-16
201;50-59;167;2021-03-16
210;50-59;314;2021-03-16
217;50-59;544;2021-03-16
219;50-59;376;2021-03-16
223;50-59;196;2021-03-16
230;50-59;457;2021-03-16
240;50-59;390;2021-03-16
250;50-59;285;2021-03-16
253;50-59;444;2021-03-16
259;50-59;508;2021-03-16
260;50-59;158;2021-03-16
265;50-59;549;2021-03-16
269;50-59;203;2021-03-16
270;50-59;282;2021-03-16
306;50-59;143;2021-03-16
316;50-59;446;2021-03-16
320;50-59;251;2021-03-16
326;50-59;240;2021-03-16
329;50-59;232;2021-03-16
330;50-59;542;2021-03-16
336;50-59;131;2021-03-16
340;50-59;136;2021-03-16
350;50-59;193;2021-03-16
360;50-59;161;2021-03-16
370;50-59;506;2021-03-16
376;50-59;283;2021-03-16
390;50-59;201;2021-03-16
400;50-59;96;2021-03-16
410;50-59;151;2021-03-16
420;50-59;111;2021-03-16
430;50-59;175;2021-03-16
440;50-59;102;2021-03-16
450;50-59;142;2021-03-16
461;50-59;875;2021-03-16
479;50-59;201;2021-03-16
480;50-59;91;2021-03-16
482;50-59;26;2021-03-16
492;50-59;11;2021-03-16
510;50-59;151;2021-03-16
530;50-59;91;2021-03-16
540;50-59;257;2021-03-16
550;50-59;108;2021-03-16
561;50-59;487;2021-03-16
573;50-59;179;2021-03-16
575;50-59;151;2021-03-16
580;50-59;220;2021-03-16
607;50-59;194;2021-03-16
615;50-59;394;2021-03-16
621;50-59;394;2021-03-16
630;50-59;463;2021-03-16
657;50-59;342;2021-03-16
661;50-59;304;2021-03-16
665;50-59;90;2021-03-16
671;50-59;125;2021-03-16
706;50-59;124;2021-03-16
707;50-59;129;2021-03-16
710;50-59;191;2021-03-16
727;50-59;100;2021-03-16
730;50-59;441;2021-03-16
740;50-59;340;2021-03-16
741;50-59;15;2021-03-16
746;50-59;292;2021-03-16
751;50-59;1681;2021-03-16
756;50-59;166;2021-03-16
760;50-59;186;2021-03-16
766;50-59;194;2021-03-16
773;50-59;106;2021-03-16
779;50-59;139;2021-03-16
787;50-59;172;2021-03-16
791;50-59;308;2021-03-16
810;50-59;173;2021-03-16
813;50-59;281;2021-03-16
820;50-59;111;2021-03-16
825;50-59;6;2021-03-16
840;50-59;100;2021-03-16
846;50-59;154;2021-03-16
849;50-59;175;2021-03-16
851;50-59;761;2021-03-16
860;50-59;251;2021-03-16
;60-69;97;2021-03-16
011;60-69;16;2021-03-16
019;60-69;1;2021-03-16
101;60-69;2092;2021-03-16
147;60-69;359;2021-03-16
151;60-69;215;2021-03-16
153;60-69;241;2021-03-16
155;60-69;70;2021-03-16
157;60-69;346;2021-03-16
159;60-69;332;2021-03-16
161;60-69;108;2021-03-16
163;60-69;180;2021-03-16
165;60-69;160;2021-03-16
167;60-69;276;2021-03-16
169;60-69;249;2021-03-16
173;60-69;203;2021-03-16
175;60-69;221;2021-03-16
183;60-69;139;2021-03-16
185;60-69;205;2021-03-16
187;60-69;71;2021-03-16
190;60-69;131;2021-03-16
201;60-69;75;2021-03-16
210;60-69;180;2021-03-16
217;60-69;323;2021-03-16
219;60-69;207;2021-03-16
223;60-69;109;2021-03-16
230;60-69;215;2021-03-16
240;60-69;164;2021-03-16
250;60-69;141;2021-03-16
253;60-69;201;2021-03-16
259;60-69;195;2021-03-16
260;60-69;114;2021-03-16
265;60-69;282;2021-03-16
269;60-69;96;2021-03-16
270;60-69;175;2021-03-16
306;60-69;119;2021-03-16
316;60-69;280;2021-03-16
320;60-69;128;2021-03-16
326;60-69;169;2021-03-16
329;60-69;102;2021-03-16
330;60-69;289;2021-03-16
336;60-69;77;2021-03-16
340;60-69;106;2021-03-16
350;60-69;91;2021-03-16
360;60-69;133;2021-03-16
370;60-69;294;2021-03-16
376;60-69;201;2021-03-16
390;60-69;130;2021-03-16
400;60-69;66;2021-03-16
410;60-69;91;2021-03-16
420;60-69;58;2021-03-16
430;60-69;89;2021-03-16
440;60-69;64;2021-03-16
450;60-69;90;2021-03-16
461;60-69;441;2021-03-16
479;60-69;119;2021-03-16
480;60-69;60;2021-03-16
482;60-69;28;2021-03-16
492;60-69;4;2021-03-16
510;60-69;84;2021-03-16
530;60-69;49;2021-03-16
540;60-69;121;2021-03-16
550;60-69;70;2021-03-16
561;60-69;260;2021-03-16
563;60-69;7;2021-03-16
573;60-69;129;2021-03-16
575;60-69;88;2021-03-16
580;60-69;118;2021-03-16
607;60-69;111;2021-03-16
615;60-69;182;2021-03-16
621;60-69;246;2021-03-16
630;60-69;249;2021-03-16
657;60-69;214;2021-03-16
661;60-69;198;2021-03-16
665;60-69;45;2021-03-16
671;60-69;80;2021-03-16
706;60-69;78;2021-03-16
707;60-69;81;2021-03-16
710;60-69;81;2021-03-16
727;60-69;55;2021-03-16
730;60-69;237;2021-03-16
740;60-69;192;2021-03-16
741;60-69;24;2021-03-16
746;60-69;162;2021-03-16
751;60-69;936;2021-03-16
756;60-69;98;2021-03-16
760;60-69;108;2021-03-16
766;60-69;104;2021-03-16
773;60-69;55;2021-03-16
779;60-69;80;2021-03-16
787;60-69;152;2021-03-16
791;60-69;171;2021-03-16
810;60-69;90;2021-03-16
813;60-69;167;2021-03-16
820;60-69;93;2021-03-16
825;60-69;3;2021-03-16
840;60-69;67;2021-03-16
846;60-69;127;2021-03-16
849;60-69;123;2021-03-16
851;60-69;458;2021-03-16
860;60-69;147;2021-03-16
;70-79;26;2021-03-16
011;70-79;2;2021-03-16
101;70-79;1179;2021-03-16
147;70-79;319;2021-03-16
151;70-79;153;2021-03-16
153;70-79;141;2021-03-16
155;70-79;41;2021-03-16
157;70-79;210;2021-03-16
159;70-79;174;2021-03-16
161;70-79;74;2021-03-16
163;70-79;97;2021-03-16
165;70-79;92;2021-03-16
167;70-79;112;2021-03-16
169;70-79;161;2021-03-16
173;70-79;138;2021-03-16
175;70-79;98;2021-03-16
183;70-79;98;2021-03-16
185;70-79;137;2021-03-16
187;70-79;64;2021-03-16
190;70-79;84;2021-03-16
201;70-79;62;2021-03-16
210;70-79;124;2021-03-16
217;70-79;220;2021-03-16
219;70-79;131;2021-03-16
223;70-79;82;2021-03-16
230;70-79;139;2021-03-16
240;70-79;158;2021-03-16
250;70-79;99;2021-03-16
253;70-79;134;2021-03-16
259;70-79;170;2021-03-16
260;70-79;66;2021-03-16
265;70-79;189;2021-03-16
269;70-79;70;2021-03-16
270;70-79;123;2021-03-16
306;70-79;81;2021-03-16
316;70-79;131;2021-03-16
320;70-79;73;2021-03-16
326;70-79;116;2021-03-16
329;70-79;46;2021-03-16
330;70-79;212;2021-03-16
336;70-79;68;2021-03-16
340;70-79;47;2021-03-16
350;70-79;58;2021-03-16
360;70-79;81;2021-03-16
370;70-79;189;2021-03-16
376;70-79;142;2021-03-16
390;70-79;76;2021-03-16
