"Dato";"Indlæggelser kumuleret"
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-03-01;1
2020-03-02;2
2020-03-03;2
2020-03-03;3
2020-03-04;4
2020-03-05;5
2020-03-05;7
2020-03-06;8
2020-03-07;9
2020-03-07;10
2020-03-08;11
2020-03-08;12
2020-03-09;21
2020-03-09;32
2020-03-10;41
2020-03-10;53
2020-03-11;58
2020-03-11;68
2020-03-12;77
2020-03-12;87
2020-03-13;91
2020-03-13;106
2020-03-14;116
2020-03-14;127
2020-03-15;137
2020-03-15;156
2020-03-16;174
2020-03-16;205
2020-03-17;225
2020-03-17;258
2020-03-18;278
2020-03-18;307
2020-03-19;325
2020-03-19;352
2020-03-20;380
2020-03-20;416
2020-03-21;430
2020-03-21;445
2020-03-22;465
2020-03-22;487
2020-03-23;517
2020-03-23;569
2020-03-24;596
2020-03-24;654
2020-03-25;691
2020-03-25;747
2020-03-26;792
2020-03-26;836
2020-03-27;871
2020-03-27;930
2020-03-28;969
2020-03-28;1022
2020-03-29;1050
2020-03-29;1077
2020-03-30;1120
2020-03-30;1162
2020-03-31;1199
2020-03-31;1228
2020-04-01;1262
2020-04-01;1287
2020-04-02;1324
2020-04-02;1360
2020-04-03;1399
2020-04-03;1434
2020-04-04;1458
2020-04-04;1493
2020-04-05;1516
2020-04-05;1529
2020-04-06;1561
2020-04-06;1585
2020-04-07;1616
2020-04-07;1636
2020-04-08;1657
2020-04-08;1674
2020-04-09;1694
2020-04-09;1702
2020-04-10;1710
2020-04-10;1721
2020-04-11;1737
2020-04-11;1754
2020-04-12;1770
2020-04-12;1777
2020-04-13;1788
2020-04-13;1809
2020-04-14;1831
2020-04-14;1845
2020-04-15;1858
2020-04-15;1870
2020-04-16;1885
2020-04-16;1896
2020-04-17;1913
2020-04-17;1924
2020-04-18;1937
2020-04-18;1948
2020-04-19;1962
2020-04-19;1979
2020-04-20;1995
2020-04-20;2015
2020-04-21;2033
2020-04-21;2048
2020-04-22;2063
2020-04-22;2082
2020-04-23;2100
2020-04-23;2115
2020-04-24;2130
2020-04-24;2137
2020-04-25;2147
2020-04-25;2156
2020-04-26;2170
2020-04-26;2180
2020-04-27;2188
2020-04-27;2202
2020-04-28;2209
2020-04-28;2212
2020-04-29;2220
2020-04-29;2233
2020-04-30;2244
2020-04-30;2250
2020-05-01;2254
2020-05-01;2260
2020-05-02;2266
2020-05-02;2272
2020-05-03;2283
2020-05-03;2289
2020-05-04;2296
2020-05-04;2304
2020-05-05;2312
2020-05-05;2322
2020-05-06;2323
2020-05-06;2329
2020-05-07;2334
2020-05-07;2342
2020-05-08;2346
2020-05-08;2350
2020-05-09;2357
2020-05-09;2363
2020-05-10;2365
2020-05-10;2369
2020-05-11;2375
2020-05-11;2379
2020-05-12;2384
2020-05-12;2385
2020-05-13;2389
2020-05-13;2389
2020-05-14;2394
2020-05-14;2400
2020-05-15;2406
2020-05-15;2412
2020-05-16;2414
2020-05-16;2416
2020-05-17;2420
2020-05-17;2421
2020-05-18;2428
2020-05-18;2430
2020-05-19;2434
2020-05-19;2436
2020-05-20;2440
2020-05-20;2445
2020-05-21;2449
2020-05-21;2452
2020-05-22;2460
2020-05-22;2467
2020-05-23;2470
2020-05-23;2474
2020-05-24;2477
2020-05-24;2480
2020-05-25;2484
2020-05-25;2484
2020-05-26;2491
2020-05-26;2496
2020-05-27;2499
2020-05-27;2506
2020-05-28;2510
2020-05-28;2513
2020-05-29;2515
2020-05-29;2519
2020-05-30;2522
2020-05-30;2525
2020-05-31;2525
2020-05-31;2525
2020-06-01;2526
2020-06-01;2529
2020-06-02;2529
2020-06-02;2530
2020-06-03;2532
2020-06-03;2532
2020-06-04;2533
2020-06-04;2535
2020-06-05;2537
2020-06-05;2540
2020-06-06;2542
2020-06-06;2542
2020-06-07;2543
2020-06-07;2544
2020-06-08;2545
2020-06-08;2549
2020-06-09;2549
2020-06-09;2550
2020-06-10;2555
2020-06-10;2556
2020-06-11;2556
2020-06-11;2559
2020-06-12;2565
2020-06-12;2569
2020-06-13;2571
2020-06-13;2575
2020-06-14;2576
2020-06-14;2578
2020-06-15;2581
2020-06-15;2584
2020-06-16;2587
2020-06-16;2590
2020-06-17;2593
2020-06-17;2597
2020-06-18;2599
2020-06-18;2599
2020-06-19;2602
2020-06-19;2602
2020-06-20;2602
2020-06-20;2602
2020-06-21;2603
2020-06-21;2606
2020-06-22;2608
2020-06-22;2610
2020-06-23;2611
2020-06-23;2612
2020-06-24;2616
2020-06-24;2622
2020-06-25;2622
2020-06-25;2624
2020-06-26;2624
2020-06-26;2626
2020-06-27;2628
2020-06-27;2630
2020-06-28;2630
2020-06-28;2631
2020-06-29;2631
2020-06-29;2631
2020-06-30;2632
2020-06-30;2635
2020-07-01;2635
2020-07-01;2636
2020-07-02;2636
2020-07-02;2637
2020-07-03;2637
2020-07-03;2637
2020-07-04;2637
2020-07-04;2637
2020-07-05;2637
2020-07-05;2638
2020-07-06;2639
2020-07-06;2640
2020-07-07;2640
2020-07-07;2642
2020-07-08;2644
2020-07-08;2645
2020-07-09;2649
2020-07-09;2650
