"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;70;0
Hovedstaden;0-9;7393;1
Midtjylland;0-9;2641;0
Nordjylland;0-9;863;0
Sjælland;0-9;1755;0
Syddanmark;0-9;2179;0
;10-19;75;0
Hovedstaden;10-19;14720;0
Midtjylland;10-19;6156;0
Nordjylland;10-19;2222;0
Sjælland;10-19;4922;0
Syddanmark;10-19;4993;0
;20-29;453;0
Hovedstaden;20-29;20949;0
Midtjylland;20-29;7487;0
Nordjylland;20-29;2715;0
Sjælland;20-29;3867;0
Syddanmark;20-29;4935;0
;30-39;473;0
Hovedstaden;30-39;15233;4
Midtjylland;30-39;4765;0
Nordjylland;30-39;1756;0
Sjælland;30-39;3666;2
Syddanmark;30-39;3691;0
;40-49;417;0
Hovedstaden;40-49;14680;3
Midtjylland;40-49;5275;1
Nordjylland;40-49;1936;0
Sjælland;40-49;4896;1
Syddanmark;40-49;4351;1
;50-59;272;1
Hovedstaden;50-59;13688;28
Midtjylland;50-59;5388;9
Nordjylland;50-59;2227;3
Sjælland;50-59;5057;8
Syddanmark;50-59;4411;4
;60-69;108;0
Hovedstaden;60-69;7222;107
Midtjylland;60-69;3013;28
Nordjylland;60-69;1435;10
Sjælland;60-69;2813;34
Syddanmark;60-69;2490;16
;70-79;25;0
Hovedstaden;70-79;4572;318
Midtjylland;70-79;1766;85
Nordjylland;70-79;912;60
Sjælland;70-79;1822;103
Syddanmark;70-79;1554;53
;80-89;10;1
Hovedstaden;80-89;2730;512
Midtjylland;80-89;873;149
Nordjylland;80-89;431;61
Sjælland;80-89;938;147
Syddanmark;80-89;697;88
;90+;4;0
Hovedstaden;90+;984;301
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;268;87
Syddanmark;90+;164;44
