"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;70;0;0;2;09/03/2021
Hovedstaden;0-9;7393;1;1;102;09/03/2021
Midtjylland;0-9;2641;0;0;20;09/03/2021
Nordjylland;0-9;863;0;0;6;09/03/2021
Sjælland;0-9;1755;0;0;17;09/03/2021
Syddanmark;0-9;2179;0;1;20;09/03/2021
;10-19;75;0;0;0;09/03/2021
Hovedstaden;10-19;14720;0;1;82;09/03/2021
Midtjylland;10-19;6156;0;0;24;09/03/2021
Nordjylland;10-19;2222;0;1;8;09/03/2021
Sjælland;10-19;4922;0;2;35;09/03/2021
Syddanmark;10-19;4993;0;0;16;09/03/2021
;20-29;453;0;1;10;09/03/2021
Hovedstaden;20-29;20949;0;6;262;09/03/2021
Midtjylland;20-29;7487;0;0;72;09/03/2021
Nordjylland;20-29;2715;0;0;34;09/03/2021
Sjælland;20-29;3867;0;0;72;09/03/2021
Syddanmark;20-29;4935;0;2;63;09/03/2021
;30-39;473;0;1;20;09/03/2021
Hovedstaden;30-39;15233;4;7;435;09/03/2021
Midtjylland;30-39;4765;0;0;106;09/03/2021
Nordjylland;30-39;1756;0;1;37;09/03/2021
Sjælland;30-39;3666;2;2;105;09/03/2021
Syddanmark;30-39;3691;0;2;85;09/03/2021
;40-49;417;0;1;27;09/03/2021
Hovedstaden;40-49;14680;3;19;564;09/03/2021
Midtjylland;40-49;5275;1;2;173;09/03/2021
Nordjylland;40-49;1936;0;1;62;09/03/2021
Sjælland;40-49;4896;1;5;207;09/03/2021
Syddanmark;40-49;4351;1;7;134;09/03/2021
;50-59;272;1;0;36;09/03/2021
Hovedstaden;50-59;13688;28;11;872;09/03/2021
Midtjylland;50-59;5388;9;2;325;09/03/2021
Nordjylland;50-59;2227;3;3;101;09/03/2021
Sjælland;50-59;5057;8;4;309;09/03/2021
Syddanmark;50-59;4411;4;6;218;09/03/2021
;60-69;108;0;1;22;09/03/2021
Hovedstaden;60-69;7222;107;9;926;09/03/2021
Midtjylland;60-69;3013;28;3;312;09/03/2021
Nordjylland;60-69;1435;10;5;133;09/03/2021
Sjælland;60-69;2813;34;13;365;09/03/2021
Syddanmark;60-69;2490;16;7;257;09/03/2021
;70-79;25;0;0;10;09/03/2021
Hovedstaden;70-79;4572;318;26;1400;09/03/2021
Midtjylland;70-79;1766;85;4;433;09/03/2021
Nordjylland;70-79;912;60;4;215;09/03/2021
Sjælland;70-79;1822;103;11;523;09/03/2021
Syddanmark;70-79;1554;53;15;328;09/03/2021
;80-89;10;1;0;5;09/03/2021
Hovedstaden;80-89;2730;512;7;1249;09/03/2021
Midtjylland;80-89;873;149;1;307;09/03/2021
Nordjylland;80-89;431;61;3;173;09/03/2021
Sjælland;80-89;938;147;11;443;09/03/2021
Syddanmark;80-89;697;88;8;261;09/03/2021
;90+;4;0;0;0;09/03/2021
Hovedstaden;90+;984;301;1;382;09/03/2021
Midtjylland;90+;258;68;0;77;09/03/2021
Nordjylland;90+;125;43;0;38;09/03/2021
Sjælland;90+;268;87;2;130;09/03/2021
Syddanmark;90+;164;44;0;59;09/03/2021
