"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;3;0;0;0;09/03/2021
Hovedstaden;0-9;256;0;1;1;09/03/2021
Midtjylland;0-9;57;0;0;0;09/03/2021
Nordjylland;0-9;4;0;0;0;09/03/2021
Sjælland;0-9;69;0;0;0;09/03/2021
Syddanmark;0-9;127;0;0;0;09/03/2021
;10-19;1;0;0;0;09/03/2021
Hovedstaden;10-19;229;0;0;0;09/03/2021
Midtjylland;10-19;62;0;0;1;09/03/2021
Nordjylland;10-19;26;0;0;0;09/03/2021
Sjælland;10-19;98;0;0;0;09/03/2021
Syddanmark;10-19;155;0;0;2;09/03/2021
;20-29;11;0;1;1;09/03/2021
Hovedstaden;20-29;248;0;1;4;09/03/2021
Midtjylland;20-29;111;0;0;0;09/03/2021
Nordjylland;20-29;35;0;0;0;09/03/2021
Sjælland;20-29;63;0;0;1;09/03/2021
Syddanmark;20-29;165;0;0;0;09/03/2021
;30-39;16;0;1;2;09/03/2021
Hovedstaden;30-39;285;0;3;4;09/03/2021
Midtjylland;30-39;62;0;0;2;09/03/2021
Nordjylland;30-39;31;0;0;0;09/03/2021
Sjælland;30-39;80;0;1;3;09/03/2021
Syddanmark;30-39;105;0;0;1;09/03/2021
;40-49;8;0;1;1;09/03/2021
Hovedstaden;40-49;235;0;4;7;09/03/2021
Midtjylland;40-49;60;0;0;1;09/03/2021
Nordjylland;40-49;19;0;1;1;09/03/2021
Sjælland;40-49;96;0;0;1;09/03/2021
Syddanmark;40-49;111;0;2;3;09/03/2021
;50-59;4;0;0;1;09/03/2021
Hovedstaden;50-59;228;0;1;3;09/03/2021
Midtjylland;50-59;52;0;0;3;09/03/2021
Nordjylland;50-59;19;0;1;1;09/03/2021
Sjælland;50-59;87;0;1;3;09/03/2021
Syddanmark;50-59;109;0;1;1;09/03/2021
;60-69;2;0;0;1;09/03/2021
Hovedstaden;60-69;92;0;2;5;09/03/2021
Midtjylland;60-69;41;0;0;0;09/03/2021
Nordjylland;60-69;14;0;0;0;09/03/2021
Sjælland;60-69;49;0;2;5;09/03/2021
Syddanmark;60-69;58;0;0;1;09/03/2021
Hovedstaden;70-79;49;0;5;12;09/03/2021
Midtjylland;70-79;19;0;1;1;09/03/2021
Nordjylland;70-79;2;0;0;0;09/03/2021
Sjælland;70-79;22;0;4;6;09/03/2021
Syddanmark;70-79;30;0;6;6;09/03/2021
Hovedstaden;80-89;23;1;3;7;09/03/2021
Midtjylland;80-89;5;0;0;0;09/03/2021
Nordjylland;80-89;4;0;0;1;09/03/2021
Sjælland;80-89;14;0;3;3;09/03/2021
Syddanmark;80-89;7;1;3;5;09/03/2021
;90+;1;0;0;0;09/03/2021
Hovedstaden;90+;4;0;0;1;09/03/2021
Sjælland;90+;4;1;1;2;09/03/2021
Syddanmark;90+;3;0;0;0;09/03/2021
