"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;57;2021-03-15
019;0-9;14;2021-03-15
101;0-9;2654;2021-03-15
147;0-9;383;2021-03-15
151;0-9;235;2021-03-15
153;0-9;251;2021-03-15
155;0-9;73;2021-03-15
157;0-9;211;2021-03-15
159;0-9;366;2021-03-15
161;0-9;108;2021-03-15
163;0-9;177;2021-03-15
165;0-9;188;2021-03-15
167;0-9;295;2021-03-15
169;0-9;343;2021-03-15
173;0-9;182;2021-03-15
175;0-9;216;2021-03-15
183;0-9;222;2021-03-15
185;0-9;240;2021-03-15
187;0-9;120;2021-03-15
190;0-9;130;2021-03-15
201;0-9;53;2021-03-15
210;0-9;139;2021-03-15
217;0-9;219;2021-03-15
219;0-9;159;2021-03-15
223;0-9;45;2021-03-15
230;0-9;138;2021-03-15
240;0-9;202;2021-03-15
250;0-9;85;2021-03-15
253;0-9;206;2021-03-15
259;0-9;183;2021-03-15
260;0-9;29;2021-03-15
265;0-9;264;2021-03-15
269;0-9;82;2021-03-15
270;0-9;89;2021-03-15
306;0-9;28;2021-03-15
316;0-9;143;2021-03-15
320;0-9;50;2021-03-15
326;0-9;74;2021-03-15
329;0-9;74;2021-03-15
330;0-9;209;2021-03-15
336;0-9;37;2021-03-15
340;0-9;47;2021-03-15
350;0-9;82;2021-03-15
360;0-9;33;2021-03-15
370;0-9;153;2021-03-15
376;0-9;85;2021-03-15
390;0-9;49;2021-03-15
400;0-9;27;2021-03-15
410;0-9;54;2021-03-15
420;0-9;35;2021-03-15
430;0-9;50;2021-03-15
440;0-9;48;2021-03-15
450;0-9;59;2021-03-15
461;0-9;556;2021-03-15
479;0-9;49;2021-03-15
480;0-9;36;2021-03-15
482;0-9;5;2021-03-15
492;0-9;3;2021-03-15
510;0-9;57;2021-03-15
530;0-9;28;2021-03-15
540;0-9;121;2021-03-15
550;0-9;36;2021-03-15
561;0-9;207;2021-03-15
563;0-9;1;2021-03-15
573;0-9;70;2021-03-15
575;0-9;64;2021-03-15
580;0-9;89;2021-03-15
607;0-9;93;2021-03-15
615;0-9;144;2021-03-15
621;0-9;347;2021-03-15
630;0-9;284;2021-03-15
657;0-9;128;2021-03-15
661;0-9;99;2021-03-15
665;0-9;23;2021-03-15
671;0-9;40;2021-03-15
706;0-9;42;2021-03-15
707;0-9;58;2021-03-15
710;0-9;87;2021-03-15
727;0-9;45;2021-03-15
730;0-9;197;2021-03-15
740;0-9;220;2021-03-15
741;0-9;2;2021-03-15
746;0-9;142;2021-03-15
751;0-9;1140;2021-03-15
756;0-9;67;2021-03-15
760;0-9;42;2021-03-15
766;0-9;61;2021-03-15
773;0-9;24;2021-03-15
